target_code;target_content;thematic_area;sub_theme;justification
TA1.1;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA1_Climate ambition;Greenhouse Gas Emissions Reduction;This target is assigned to Greenhouse Gas Emissions Reduction as it directly aims to reduce net GHG emissions.
TA1.2;Achieve climate neutrality by 2050;TA1_Climate ambition;Climate Neutrality;This target is assigned to Climate Neutrality as it aims to achieve a balance between GHG emissions and removals.
TA1.3;Reach energy neutrality in the wastewater treatment sector by 2045;TA1_Climate ambition;Energy Efficiency;This target is assigned to Energy Efficiency as it aims to reduce energy consumption in the wastewater treatment sector.
TA2.1;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;TA2_Clean, affordable and secure energy;Heating and Cooling;This target is assigned to Heating and Cooling as it aims to increase the deployment of heat pumps.
TA2.2;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;TA2_Clean, affordable and secure energy;Solar Energy;This target is assigned to Solar Energy as it aims to increase the capacity of solar photovoltaic.
TA2.3;Increase the share of renewable energy in the heating and cooling sector by at least 1.1 percentage points as an annual average calculated for the period 2026 to 2030;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to Renewable Energy as it aims to increase the share of renewable energy in the heating and cooling sector.
TA2.4;Ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to Energy Efficiency as it aims to reduce energy consumption in public bodies.
TA2.5;Ensure that the average primary energy use of the entire residential building stock in EU Member States decreases by at least 16% compared to 2020 by 2030;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to Energy Efficiency as it aims to reduce energy consumption in residential buildings.
TA2.6;Ensure that at least 3% of the total floor area of heated and/or cooled buildings owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings;TA2_Clean, affordable and secure energy;Building Renovation;This target is assigned to Building Renovation as it aims to renovate public buildings to increase energy efficiency.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan;TA2_Clean, affordable and secure energy;Solar Energy;This target is assigned to Solar Energy as it aims to increase the capacity of solar photovoltaic.
TA2.8;Reduce greenhouse gas emissions from the transport sector by 90% by 2050;TA2_Clean, affordable and secure energy;Transport Emissions Reduction;This target is assigned to Transport Emissions Reduction as it aims to reduce GHG emissions from the transport sector.
TA2.9;Increase the share of renewable energy in the transport sector to at least 14% by 2030;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to Renewable Energy as it aims to increase the share of renewable energy in the transport sector.
TA2.10;Set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030;TA2_Clean, affordable and secure energy;Innovative Renewable Energy;This target is assigned to Innovative Renewable Energy as it aims to increase the share of innovative renewable energy technologies.
TA3.1;Produce at least 40% of the Union’s annual consumption of strategic raw materials by 2030;TA3_Industrial strategy for a clean and circular economy;Raw Materials Production;This target is assigned to Raw Materials Production as it aims to increase the production of strategic raw materials.
TA3.2;Recycle at least 25% of the Union’s annual consumption of strategic raw materials by 2030;TA3_Industrial strategy for a clean and circular economy;Raw Materials Recycling;This target is assigned to Raw Materials Recycling as it aims to increase the recycling of strategic raw materials.
TA3.3;Increase the circular material use rate to 23% by 2030;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target is assigned to Circular Economy as it aims to increase the circular material use rate.
TA3.4;Reduce waste generation by 50% by 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction;This target is assigned to Waste Reduction as it aims to reduce waste generation.
TA3.5;Increase the recycling rate of municipal waste to 65% by 2030;TA3_Industrial strategy for a clean and circular economy;Waste Recycling;This target is assigned to Waste Recycling as it aims to increase the recycling rate of municipal waste.
TA3.6;Reduce the generation of food waste by 50% by 2030;TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;This target is assigned to Food Waste Reduction as it aims to reduce food waste generation.
TA3.7;Increase the use of recycled materials in packaging to 30% by 2030;TA3_Industrial strategy for a clean and circular economy;Sustainable Packaging;This target is assigned to Sustainable Packaging as it aims to increase the use of recycled materials in packaging.
