TA1.1;Reduce greenhouse gas emissions by at least 55% by 2030;TA1_Climate ambition;Greenhouse Gas Emissions Reduction;This target is assigned to the sub-theme "Greenhouse Gas Emissions Reduction" because it directly aims to reduce emissions.
TA1.2;Achieve climate neutrality by 2050;TA1_Climate ambition;Climate Neutrality;This target is assigned to the sub-theme "Climate Neutrality" because it sets a long-term goal for the EU to become climate neutral.
TA2.1;Set up at least one renewables-based energy community in every municipality with a population higher than 10,000 by 2025;TA2_Clean, affordable and secure energy;Renewable Energy Communities;This target is assigned to the sub-theme "Renewable Energy Communities" because it promotes the development of community-based renewable energy projects.
TA2.2;Increase the share of renewable energy in the energy mix to at least 32% by 2030;TA2_Clean, affordable and secure energy;Renewable Energy Share;This target is assigned to the sub-theme "Renewable Energy Share" because it aims to increase the proportion of renewable energy in the overall energy mix.
TA2.3;Improve energy efficiency by reducing energy consumption by at least 32.5% by 2030;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to the sub-theme "Energy Efficiency" because it focuses on reducing energy consumption through efficient use.
TA2.4;Increase the share of renewable energy in heating and cooling to at least 21% by 2030;TA2_Clean, affordable and secure energy;Renewable Heating and Cooling;This target is assigned to the sub-theme "Renewable Heating and Cooling" because it specifically targets the heating and cooling sector for renewable energy integration.
TA2.5;Reduce greenhouse gas emissions from transport by at least 60% by 2050;TA2_Clean, affordable and secure energy;Sustainable Transport;This target is assigned to the sub-theme "Sustainable Transport" because it aims to significantly reduce emissions from the transport sector.
TA2.6;Deploy alternative fuels and zero-emission vehicles;TA2_Clean, affordable and secure energy;Alternative Fuels and Vehicles;This target is assigned to the sub-theme "Alternative Fuels and Vehicles" because it promotes the use of alternative fuels and zero-emission vehicles for transport.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan;TA2_Clean, affordable and secure energy;Solar Energy;This target is assigned to the sub-theme "Solar Energy" because it specifically mentions the installation of photovoltaic (PV) capacity to meet renewable energy targets.
TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction;This target is assigned to the sub-theme "Waste Reduction" because it aims to reduce the amount of non-recycled municipal waste.
TA3.2;Increase recycling rates to at least 65% by 2030;TA3_Industrial strategy for a clean and circular economy;Recycling Rates;This target is assigned to the sub-theme "Recycling Rates" because it focuses on increasing the proportion of waste that is recycled.
TA3.3;Reduce the amount of plastic waste in oceans by 50% by 2030;TA3_Industrial strategy for a clean and circular economy;Plastic Waste Reduction;This target is assigned to the sub-theme "Plastic Waste Reduction" because it specifically targets the reduction of plastic waste in oceans.
TA3.4;Increase the use of recycled materials in production processes;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target is assigned to the sub-theme "Circular Economy" because it promotes the use of recycled materials in production, aligning with circular economy principles.
TA3.5;Reduce greenhouse gas emissions from industry by at least 80% by 2050;TA3_Industrial strategy for a clean and circular economy;Industrial Emissions Reduction;This target is assigned to the sub-theme "Industrial Emissions Reduction" because it aims to significantly reduce emissions from industrial activities.
TA4.1;Reduce transport emissions by at least 90% by 2050;TA4_Sustainable and smart mobility;Sustainable Transport;This target is assigned to the sub-theme "Sustainable Transport" because it aims to drastically reduce emissions from the transport sector.
TA4.2;Increase the share of alternative fuels in transport to at least 24% by 2030;TA4_Sustainable and smart mobility;Alternative Fuels;This target is assigned to the sub-theme "Alternative Fuels" because it promotes the use of alternative fuels in the transport sector.
TA4.3;Deploy at least 30 million zero-emission vehicles by 2030;TA4_Sustainable and smart mobility;Zero-Emission Vehicles;This target is assigned to the sub-theme "Zero-Emission Vehicles" because it specifically targets the deployment of zero-emission vehicles.
TA4.4;Improve public transport and promote walking and cycling;TA4_Sustainable and smart mobility;Sustainable Transport Modes;This target is assigned to the sub-theme "Sustainable Transport Modes" because it promotes sustainable modes of transport like public transport, walking, and cycling.
TA5.1;Reduce greenhouse gas emissions from agriculture by at least 55% by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Agricultural Emissions Reduction;This target is assigned to the sub-theme "Agricultural Emissions Reduction" because it aims to reduce emissions from agricultural activities.
TA5.2;Increase organic farming to at least 25% of total farmland by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Organic Farming;This target is assigned to the sub-theme "Organic Farming" because it promotes the expansion of organic farming practices.
TA5.3;Reduce the use of chemical pesticides by 50% by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Pest Management;This target is assigned to the sub-theme "Sustainable Pest Management" because it aims to reduce the use of chemical pesticides.
TA5.4;Increase the share of plant-based diets and reduce food waste;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Food Systems;This target is assigned to the sub-theme "Sustainable Food Systems" because it promotes plant-based diets and reduction of food waste, contributing to more sustainable food systems.
TA6.1;Protect and restore at least 30% of land and sea areas by 2030;TA6_Preserving and protecting biodiversity;Biodiversity Conservation;This target is assigned to the sub-theme "Biodiversity Conservation" because it aims to protect and restore significant portions of land and sea areas for biodiversity.
TA6.2;Restore at least 25,000 kilometers of free-flowing rivers by 2030;TA6_Preserving and protecting biodiversity;River Restoration;This target is assigned to the sub-theme "River Restoration" because it specifically targets the restoration of free-flowing rivers.
TA6.3;Plant at least 3 billion trees by 2030;TA6_Preserving and protecting biodiversity;Reforestation;This target is assigned to the sub-theme "Reforestation" because it promotes the planting of a significant number of trees.
TA6.4;Reduce the risk and use of chemical pesticides by 50% by 2030;TA6_Preserving and protecting biodiversity;Sustainable Pest Management;This target is assigned to the sub-theme "Sustainable Pest Management" because it aims to reduce the risk and use of chemical pesticides, which is crucial for biodiversity conservation.
TA7.1;Reduce air pollution to levels that do not harm human health and the environment by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Air Quality Improvement;This target is assigned to the sub-theme "Air Quality Improvement" because it aims to reduce air pollution to safe levels for human health and the environment.
TA7.2;Reduce waste generation by at least 50% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction;This target is assigned to the sub-theme "Waste Reduction" because it focuses on significantly reducing waste generation.
TA7.3;Reduce the use of single-use plastics by 50% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Single-Use Plastics Reduction;This target is assigned to the sub-theme "Single-Use Plastics Reduction" because it specifically targets the reduction of single-use plastics.
TA7.4;Improve water quality by reducing pollution from agricultural and industrial activities;TA7_Towards a zero-pollution ambition for a toxic free environment;Water Quality Improvement;This target is assigned to the sub-theme "Water Quality Improvement" because it aims to reduce pollution in water bodies from various activities.
TA7.5;Reduce soil pollution by at least 50% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Soil Pollution Reduction;This target is assigned to the sub-theme "Soil Pollution Reduction" because it focuses on reducing soil pollution.
TA7.6;Reduce noise pollution to levels that do not harm human health by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Pollution Reduction;This target is assigned to the sub-theme "Noise Pollution Reduction" because it aims to reduce noise pollution to safe levels for human health.
