thematic_area;sub_theme;experts;justification
TA3_Industrial strategy for a clean and circular economy;Waste Reduction;Egle Lukas;Foster Gillian;Tonini Davide;Egle Lukas and Tonini Davide are experts in waste management and circular economy, while Foster Gillian has expertise in environmentally oriented legislation, making them a good fit for the Waste Reduction subtheme.
TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;Egle Lukas;Tonini Davide;Huygens Dries;Egle Lukas and Tonini Davide have expertise in waste management, while Huygens Dries has experience with nutrients and fertilising products, which is relevant to municipal waste.
TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Food Waste;Delre Antonio;Gourdon Thomas;Guerreiro Miguel MÈcia;Delre Antonio has expertise in sustainable production and consumption, while Gourdon Thomas and Guerreiro Miguel MÈcia work on circular economy and green economic activities, making them suitable for the Food Waste subtheme.
TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Plastic & Packaging;Mathieux Fabrice;Maury Thibaut;Orefice Martina;Mathieux Fabrice has expertise in critical raw materials, while Maury Thibaut and Orefice Martina work on raw material flows and circular economy, making them a good fit for the Plastic & Packaging subtheme.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling;Egle Lukas;Foster Gillian;Tonini Davide;Egle Lukas, Foster Gillian, and Tonini Davide have expertise in waste management, circular economy, and environmentally oriented legislation, making them suitable for the Circularity/Recycling subtheme.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;Egle Lukas;Tonini Davide;Huygens Dries;Egle Lukas and Tonini Davide have expertise in waste management, while Huygens Dries has experience with nutrients and fertilising products, which is relevant to municipal waste.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Textile Waste;Manfredi Simone;Mathieux Fabrice;Maury Thibaut;Manfredi Simone has expertise in circular economy and resource efficiency, while Mathieux Fabrice and Maury Thibaut work on critical raw materials and raw material flows, making them suitable for the Textile Waste subtheme.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;Mathieux Fabrice;Maury Thibaut;Orefice Martina;Mathieux Fabrice has expertise in critical raw materials, while Maury Thibaut and Orefice Martina work on raw material flows and circular economy, making them a good fit for the Plastic & Packaging subtheme.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging - Bio-based plastics;Gaudillat Pierre;Saveyn Hans;Seigneur Isabelle;Gaudillat Pierre and Saveyn Hans have expertise in clean technologies and circular economy, while Seigneur Isabelle works on sustainability and energy technology related policies, making them suitable for the Bio-based plastics subtheme.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Vehicle Circularity;Bobba Silvia;Bruchhausen Matthias;Lebedeva Natalia;Bobba Silvia has expertise in automotive remanufacturing, while Bruchhausen Matthias and Lebedeva Natalia work on energy storage and batteries, making them a good fit for the Vehicle Circularity subtheme.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Bruchhausen Matthias;Lebedeva Natalia;Georgitzikis Konstantinos;Bruchhausen Matthias and Lebedeva Natalia have expertise in energy storage and batteries, while Georgitzikis Konstantinos works on battery raw materials supply, making them suitable for the Batteries Recycling subtheme.
TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;Coelho Fernando;Mathieux Fabrice;Maury Thibaut;Coelho Fernando has expertise in strategic value chains, while Mathieux Fabrice and Maury Thibaut work on critical raw materials and raw material flows, making them a good fit for the Extraction & Import subtheme.
TA3_Industrial strategy for a clean and circular economy;Net-Zero Technology - Manufacturing;Eder Peter;Pfrang Andreas;Sala Serenella;Eder Peter has expertise in leading projects, while Pfrang Andreas works on sustainable technologies, and Sala Serenella leads the Unit, making them suitable for the Net-Zero Technology subtheme.
