TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The reduction of air pollution will lead to a decrease in the negative impacts of energy production on air quality, making it more feasible to increase the share of renewable energy sources in the energy mix.
TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;+;1;The IED will help to minimize the environmental impacts of industrial activities, making it more feasible to achieve the renewable hydrogen targets.
TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;TA2.17;A target of 15% electricity interconnection for 2030;+;2;The reduction of air pollution will lead to a decrease in the negative impacts of energy production on ecosystems, making it more feasible to increase electricity interconnection and the share of renewable energy sources.
TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;TA2.25;Reduce buildings’ final energy consumption by 14%;+;1;The reduction of chemical pesticides’ use will help to minimize the environmental impacts of agricultural activities, making it more feasible to achieve the energy efficiency targets in buildings.
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA2.28;Reduce buildings’ energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;+;1;The reduction of nutrient losses will help to minimize the environmental impacts of agricultural activities, making it more feasible to achieve the energy efficiency targets in buildings.
TA7.15;Having all soils in healthy condition by 2050;TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;+;2;The improvement of soil health will help to minimize the environmental impacts of agricultural activities, making it more feasible to achieve the energy efficiency targets in buildings.
TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;+;1;The reduction of wastewater emissions will help to minimize the environmental impacts of urban activities, making it more feasible to achieve the heat pump deployment targets.
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA2.13;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030;+;2;The reduction of waste and plastic litter will help to minimize the environmental impacts of transport activities, making it more feasible to achieve the renewable energy targets in the transport sector.
TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);TA2.16;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1.6 percentage points;+;1;The reduction of microplastics will help to minimize the environmental impacts of industrial activities, making it more feasible to achieve the renewable energy targets in the industry sector.
TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;+;2;The improvement of water quality will help to minimize the environmental impacts of energy production, making it more feasible to achieve the renewable energy targets.
