target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level_3_extra2;justification;confidence_score
TA5.1;nan;;;;;;;nan;nan;nan;No content available to assign NACE categories.;0
TA5.10;Increase renewable energy in agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption in the sector;A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;D35 - Electricity, gas, steam and air conditioning supply;A1.1 - Growing of non-perennial crops;C10.8 - Manufacture of other food products;D35.1 - Electric power generation, transmission and distribution;The target focuses on agriculture and food sectors, renewable energy, and energy efficiency.;8
TA5.11;Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;O - Public Administration and Defence, Compulsory Social Security;A1 - Crop and animal production, hunting and related service activities;E39 - Remediation activities and other waste management services;O84 - Public administration and defence, compulsory social security;A1.4 - Animal production;E39.0 - Remediation activities and other waste management services;O84.1 - General public administration activities;The target involves environmental protection and biodiversity, relevant to agriculture, water management, and public administration.;7
TA5.12;Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change;A - Agriculture, Forestry and Fishing;C - Manufacturing;M - Professional, Scientific and Technical Activities;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;M72 - Scientific research and development;A1.1 - Growing of non-perennial crops;C20.2 - Manufacture of pesticides and other agrochemical products;M72.1 - Research and experimental development on natural sciences and engineering;The target focuses on agriculture and seed quality, involving manufacturing of agrochemicals and scientific research.;8
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;I - Accommodation and Food Service Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;I56 - Food and beverage service activities;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;C10.8 - Manufacture of other food products;I56.1 - Restaurants and mobile food service activities;The target is about reducing food waste, relevant to retail, food manufacturing, and food services.;9
TA5.14;Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;M - Professional, Scientific and Technical Activities;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;M70 - Activities of head offices, management consultancy activities;C10.8 - Manufacture of other food products;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;M70.2 - Management consultancy activities;The target focuses on sustainable production and circular business models, relevant to manufacturing, retail, and consultancy.;8
TA5.15;Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries;A - Agriculture, Forestry and Fishing;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;E38 - Waste collection, treatment and disposal activities, materials recovery;A1.1 - Growing of non-perennial crops;C10.8 - Manufacture of other food products;E38.2 - Waste treatment and disposal;The target involves reducing the environmental impact of the food system, relevant to agriculture, manufacturing, and waste management.;9
TA5.16;Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;A - Agriculture, Forestry and Fishing;O - Public Administration and Defence, Compulsory Social Security;M - Professional, Scientific and Technical Activities;A1 - Crop and animal production, hunting and related service activities;O84 - Public administration and defence, compulsory social security;M70 - Activities of head offices, management consultancy activities;A1.1 - Growing of non-perennial crops;O84.1 - General public administration activities;M70.2 - Management consultancy activities;The target is about ensuring fair income for primary producers, involving agriculture, public administration, and consultancy.;8
TA5.17;Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;A1 - Crop and animal production, hunting and related service activities;M70 - Activities of head offices, management consultancy activities;G46 - Wholesale trade, except of motor vehicles and motorcycles;A1.1 - Growing of non-perennial crops;M70.2 - Management consultancy activities;G46.2 - Wholesale of agricultural raw materials and live animals;The target focuses on strengthening farmers' and fishers' positions in the supply chain, relevant to agriculture, consultancy, and trade.;8
TA5.18;Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;A - Agriculture, Forestry and Fishing;O - Public Administration and Defence, Compulsory Social Security;M - Professional, Scientific and Technical Activities;A1 - Crop and animal production, hunting and related service activities;O84 - Public administration and defence, compulsory social security;M70 - Activities of head offices, management consultancy activities;A1.1 - Growing of non-perennial crops;O84.1 - General public administration activities;M70.2 - Management consultancy activities;The target is about improving agricultural rules to strengthen farmers' positions, involving agriculture, public administration, and consultancy.;8
TA5.19;Preserve the affordability of food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;I - Accommodation and Food Service Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;I56 - Food and beverage service activities;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;C10.8 - Manufacture of other food products;I56.1 - Restaurants and mobile food service activities;The target focuses on food affordability, relevant to retail, food manufacturing, and food services.;9
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;A - Agriculture, Forestry and Fishing;C - Manufacturing;M - Professional, Scientific and Technical Activities;A1 - Crop and animal production, hunting and related service activities;C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations;M72 - Scientific research and development;A1.4 - Animal production;C21.2 - Manufacture of pharmaceutical preparations;M72.1 - Research and experimental development on natural sciences and engineering;The target involves reducing antimicrobial sales, relevant to agriculture, pharmaceutical manufacturing, and scientific research.;9
TA5.20;Foster the competitiveness of the EU supply sector;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;M - Professional, Scientific and Technical Activities;G46 - Wholesale trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;M70 - Activities of head offices, management consultancy activities;G46.2 - Wholesale of agricultural raw materials and live animals;C10.8 - Manufacture of other food products;M70.2 - Management consultancy activities;The target is about fostering competitiveness in the supply sector, relevant to trade, manufacturing, and consultancy.;8
TA5.21;Ensure access to fast broadband to all farmers and all rural areas (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence);J - Information and Communication;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;J61 - Telecommunications;A1 - Crop and animal production, hunting and related service activities;M72 - Scientific research and development;J61.1 - Wired telecommunications activities;A1.1 - Growing of non-perennial crops;M72.1 - Research and experimental development on natural sciences and engineering;The target involves broadband access for farmers, relevant to telecommunications, agriculture, and research.;9
TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation.;H - Transportation and Storage;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;H52 - Warehousing and support activities for transportation;G46 - Wholesale trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;H52.2 - Support activities for transportation;G46.2 - Wholesale of agricultural raw materials and live animals;C10.8 - Manufacture of other food products;The target is about creating shorter supply chains, relevant to transportation, trade, and manufacturing.;8
TA5.23;Create new job opportunities.;N - Administrative and Support Service Activities;M - Professional, Scientific and Technical Activities;A - Agriculture, Forestry and Fishing;N78 - Employment activities;M70 - Activities of head offices, management consultancy activities;A1 - Crop and animal production, hunting and related service activities;N78.1 - Activities of employment placement agencies;M70.2 - Management consultancy activities;A1.1 - Growing of non-perennial crops;The target focuses on job creation, relevant to employment services, consultancy, and agriculture.;8
TA5.24;Ensure Fair, inclusive and ethical value chains. Improve working conditions, ensure occupation health and safety. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;O - Public Administration and Defence, Compulsory Social Security;M - Professional, Scientific and Technical Activities;A - Agriculture, Forestry and Fishing;O84 - Public administration and defence, compulsory social security;M70 - Activities of head offices, management consultancy activities;A1 - Crop and animal production, hunting and related service activities;O84.1 - General public administration activities;M70.2 - Management consultancy activities;A1.1 - Growing of non-perennial crops;The target involves fair and ethical value chains, relevant to public administration, consultancy, and agriculture.;8
TA5.25;Promote better animal welfare to improve animal health and food quality;A - Agriculture, Forestry and Fishing;C - Manufacturing;M - Professional, Scientific and Technical Activities;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;M72 - Scientific research and development;A1.4 - Animal production;C10.8 - Manufacture of other food products;M72.1 - Research and experimental development on natural sciences and engineering;The target focuses on animal welfare, relevant to agriculture, food manufacturing, and scientific research.;9
TA5.26;Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste.;P - Education;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;P85 - Education;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;P85.6 - Educational support activities;C10.8 - Manufacture of other food products;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;The target involves education on nutrition and food waste, relevant to education, food manufacturing, and retail.;8
TA5.27;Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;M - Professional, Scientific and Technical Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;M73 - Advertising and market research;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;C10.8 - Manufacture of other food products;M73.2 - Market research and public opinion polling;The target is about food labelling, relevant to retail, food manufacturing, and market research.;9
TA5.28;Extend the mandatory origin or provenance indications to certain products.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;M - Professional, Scientific and Technical Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;M73 - Advertising and market research;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;C10.8 - Manufacture of other food products;M73.2 - Market research and public opinion polling;The target involves origin labelling, relevant to retail, food manufacturing, and market research.;8
TA5.29;Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;A - Agriculture, Forestry and Fishing;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;A1 - Crop and animal production, hunting and related service activities;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;C10.8 - Manufacture of other food products;A1.1 - Growing of non-perennial crops;The target focuses on sustainable food availability, relevant to retail, food manufacturing, and agriculture.;9
TA5.3;Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility;A - Agriculture, Forestry and Fishing;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;E39 - Remediation activities and other waste management services;A1.1 - Growing of non-perennial crops;C20.2 - Manufacture of pesticides and other agrochemical products;E39.0 - Remediation activities and other waste management services;The target involves reducing nutrient losses, relevant to agriculture, chemical manufacturing, and waste management.;9
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;A - Agriculture, Forestry and Fishing;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;A1 - Crop and animal production, hunting and related service activities;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;C10.8 - Manufacture of other food products;A1.1 - Growing of non-perennial crops;The target focuses on food affordability and access, relevant to retail, food manufacturing, and agriculture.;9
TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;C - Manufacturing;M - Professional, Scientific and Technical Activities;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C10 - Manufacture of food products;M72 - Scientific research and development;G47 - Retail trade, except of motor vehicles and motorcycles;C10.8 - Manufacture of other food products;M72.1 - Research and experimental development on natural sciences and engineering;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;The target involves food product reformulation, relevant to manufacturing, research, and retail.;9
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;A - Agriculture, Forestry and Fishing;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;A1 - Crop and animal production, hunting and related service activities;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;C10.8 - Manufacture of other food products;A1.1 - Growing of non-perennial crops;The target focuses on access to quality food, relevant to retail, food manufacturing, and agriculture.;9
TA5.33;Move to healthier and more sustainable diets;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;M - Professional, Scientific and Technical Activities;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;M72 - Scientific research and development;C10.8 - Manufacture of other food products;G47.2 - Retail sale of food, beverages and tobacco in specialised stores;M72.1 - Research and experimental development on natural sciences and engineering;The target involves promoting sustainable diets, relevant to food manufacturing, retail, and research.;9
TA5.34;Reverse prevalence of overweight and diet-related diseases;C - Manufacturing;M - Professional, Scientific and Technical Activities;P - Education;C10 - Manufacture of food products;M72 - Scientific research and development;P85 - Education;C10.8 - Manufacture of other food products;M72.1 - Research and experimental development on natural sciences and engineering;P85.6 - Educational support activities;The target focuses on reversing diet-related diseases, relevant to food manufacturing, research, and education.;8
TA5.35;Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;A - Agriculture, Forestry and Fishing;C - Manufacturing;M - Professional, Scientific and Technical Activities;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;M72 - Scientific research and development;A1.1 - Growing of non-perennial crops;C10.8 - Manufacture of other food products;M72.1 - Research and experimental development on natural sciences and engineering;The target involves strengthening food system resilience, relevant to agriculture, manufacturing, and research.;9
TA5.36;nan;;;;;;;nan;nan;nan;No content available to assign NACE categories.;0
TA5.37;nan;;;;;;;nan;nan;nan;No content available to assign NACE categories.;0
TA5.4;Reduce by 50% the use of more hazardous pesticides (target in common with the Biodiversity Strategy and Zero Pollution Action Plan);A - Agriculture, Forestry and Fishing;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;E39 - Remediation activities and other waste management services;A1.1 - Growing of non-perennial crops;C20.2 - Manufacture of pesticides and other agrochemical products;E39.0 - Remediation activities and other waste management services;The target involves reducing pesticide use, relevant to agriculture, chemical manufacturing, and waste management.;9
TA5.5;Reduce by 50% the use and risk of chemical pesticides (target in common with the Biodiversity Strategy and Zero Pollution Action Plan);A - Agriculture, Forestry and Fishing;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;E39 - Remediation activities and other waste management services;A1.1 - Growing of non-perennial crops;C20.2 - Manufacture of pesticides and other agrochemical products;E39.0 - Remediation activities and other waste management services;The target involves reducing pesticide use and risk, relevant to agriculture, chemical manufacturing, and waste management.;9
TA5.6;Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture (target in common with CFP);A - Agriculture, Forestry and Fishing;C - Manufacturing;M - Professional, Scientific and Technical Activities;A3 - Fishing and aquaculture;C10 - Manufacture of food products;M72 - Scientific research and development;A3.1 - Fishing;C10.2 - Processing and preserving of fish, crustaceans and molluscs;M72.1 - Research and experimental development on natural sciences and engineering;The target focuses on sustainable fishing and aquaculture, relevant to agriculture, food manufacturing, and research.;9
