TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The protection of land areas can reinforce the reduction of GHG emissions by preserving natural carbon sinks and promoting sustainable land use practices.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The protection of protected areas can aid in the reduction of GHG emissions by preserving natural carbon sinks and promoting sustainable land use practices, which are essential for achieving the EU's climate objectives.
TA6.8;5. The decline of pollinators is reversed;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The reversal of pollinator decline can contribute to the reduction of GHG emissions by promoting sustainable agriculture and land use practices, which are essential for achieving the EU's climate objectives.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The restoration of ecosystems can aid in the reduction of GHG emissions by promoting sustainable land use practices and preserving natural carbon sinks, which are essential for achieving the EU's climate objectives.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;1;The improvement of pollinator diversity and the reversal of pollinator decline can contribute to the reduction of GHG emissions by promoting sustainable agriculture and land use practices, which are essential for achieving the EU's climate objectives.
TA6.2;1.b Legally protect a minimum of 30% of the EU's sea area;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The protection of sea areas can aid in the reduction of GHG emissions by preserving natural carbon sinks and promoting sustainable land use practices, which are essential for achieving the EU's climate objectives.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045.;+;1;The protection of land areas can contribute to the achievement of energy neutrality in the wastewater treatment sector by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing energy consumption and GHG emissions.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045.;+;1;The protection of protected areas can aid in the achievement of energy neutrality in the wastewater treatment sector by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing energy consumption and GHG emissions.
TA6.8;5. The decline of pollinators is reversed;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;1;The reversal of pollinator decline can contribute to the reduction of GHG emissions from the EU ETS sectors by promoting sustainable agriculture and land use practices, which are essential for achieving the EU's climate objectives.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The restoration of ecosystems can aid in the reduction of GHG emissions from the EU ETS sectors by promoting sustainable land use practices and preserving natural carbon sinks, which are essential for achieving the EU's climate objectives.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;1;The improvement of pollinator diversity and the reversal of pollinator decline can contribute to the reduction of GHG emissions from the EU ETS sectors by promoting sustainable agriculture and land use practices, which are essential for achieving the EU's climate objectives.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;2;The protection of land areas can aid in the reduction of GHG emissions from the ESR sectors by promoting sustainable land use practices and preserving ecosystem services, which are essential for achieving the EU's climate objectives.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;2;The protection of protected areas can aid in the reduction of GHG emissions from the ESR sectors by promoting sustainable land use practices and preserving ecosystem services, which are essential for achieving the EU's climate objectives.
TA6.8;5. The decline of pollinators is reversed;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;1;The reversal of pollinator decline can contribute to the reduction of GHG emissions from the ESR sectors by promoting sustainable agriculture and land use practices, which are essential for achieving the EU's climate objectives.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;2;The restoration of ecosystems can aid in the reduction of GHG emissions from the ESR sectors by promoting sustainable land use practices and preserving natural carbon sinks, which are essential for achieving the EU's climate objectives.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA1.11;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;+;1;The improvement of pollinator diversity and the reversal of pollinator decline can contribute to the reduction of GHG emissions from the ESR sectors by promoting sustainable agriculture and land use practices, which are essential for achieving the EU's climate objectives.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;+;2;The protection of land areas can aid in the implementation of the no-debit rule by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing GHG emissions and maintaining ecosystem services.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;+;2;The protection of protected areas can aid in the implementation of the no-debit rule by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing GHG emissions and maintaining ecosystem services.
TA6.8;5. The decline of pollinators is reversed;TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;+;1;The reversal of pollinator decline can contribute to the implementation of the no-debit rule by promoting sustainable agriculture and land use practices, which are essential for reducing GHG emissions and maintaining ecosystem services.
