source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;justification
Renewable Energy;TA2.1,TA2.10,TA2.11,TA2.13,TA2.15,TA2.16,TA2.2,TA2.37,TA2.39,TA2.5,TA2.7,TA2.9;Circularity/Recycling;+;The increased use of renewable energy can lead to a reduction in waste generation from fossil fuels, which in turn can positively impact circularity and recycling efforts.
Renewable Energy - Heating & Cooling;TA2.14,TA2.18,TA2.6;Waste Reduction - Municipal Waste;-;The implementation of renewable energy solutions for heating and cooling can lead to an increase in waste generation from materials used in these solutions, potentially negatively impacting municipal waste reduction efforts.
Renewable Energy - Hydrogen Production;TA2.40,TA4.20,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29;Critical Raw Materials - Extraction & Import;-;The production of hydrogen from renewable energy sources can lead to an increased demand for critical raw materials, potentially straining extraction and import efforts.
Renewable Energy - Ocean/Offshore;TA2.38,TA2.39;Circularity/Recycling - Municipal Waste;+;The development of offshore renewable energy infrastructure can lead to the creation of new habitats for marine life, potentially positively impacting biodiversity and circularity efforts in municipal waste management.
Renewable Energy - Solar;TA2.5,TA2.7;Energy Efficiency;-;The increased use of solar energy can lead to a reduction in energy efficiency efforts, as solar energy can be more expensive than traditional energy sources, potentially negatively impacting energy efficiency targets.
Energy Efficiency;TA1.8,TA2.21,TA2.22,TA2.23,TA2.41,TA4.10,TA4.19,TA4.32,TA4.33,TA4.34;Waste Reduction - Food Waste;+;Improved energy efficiency can lead to a reduction in food waste generation, as more efficient systems can reduce energy consumption and lower the risk of food spoilage.
Energy Efficiency - Buildings;TA2.24,TA2.25,TA2.26,TA2.28,TA2.29,TA2.33,TA2.34,TA2.4;Circularity/Recycling - Plastic & Packaging;+;The implementation of energy-efficient building solutions can lead to a reduction in plastic and packaging waste generation, as more efficient systems can reduce the need for single-use plastics and packaging materials.
Energy Infrastructure;TA2.17,TA2.6,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29;Net-Zero Technology - Manufacturing;+;The development of energy infrastructure can support the manufacturing of net-zero technologies, such as renewable energy systems and energy storage solutions, potentially positively impacting the transition to a net-zero economy.
Methane;TA3.1,TA3.30;Waste Reduction - Municipal Waste;-;The reduction of methane emissions can lead to an increase in waste generation from landfills, potentially negatively impacting municipal waste reduction efforts.
Social Security - Energy;TA5.10;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;+;The implementation of social security measures for energy can lead to an increase in the recycling of critical raw materials, such as batteries, potentially positively impacting circularity and recycling efforts.
