thematic_area;sub_theme;experts;justification
TA3_Industrial strategy for a clean and circular economy;Waste Reduction;Eder Peter;Foster Gillian;Tonini Davide;These experts are assigned to this subtheme because they have expertise in circular economy, waste management, and sustainability assessments, which are crucial for waste reduction.
TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;Egle Lukas;Huygens Dries;Tonini Davide;These experts are assigned to this subtheme because they have expertise in waste management, circular economy, and sustainability assessments, which are relevant to municipal waste reduction.
TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Food Waste;Delre Antonio;Gourdon Thomas;Mancini Lucia;These experts are assigned to this subtheme because they have expertise in sustainable production and consumption, circular economy, and life cycle assessments, which are relevant to food waste reduction.
TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Plastic & Packaging;Foster Gillian;Gaudillat Pierre;Saveyn Hans;These experts are assigned to this subtheme because they have expertise in circular economy, waste management, and clean technologies, which are crucial for reducing plastic and packaging waste.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling;Eder Peter;Mathieux Fabrice;Pennington David;These experts are assigned to this subtheme because they have expertise in circular economy, resource efficiency, and sustainability assessments, which are relevant to recycling and circularity.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;Egle Lukas;Huygens Dries;Tonini Davide;These experts are assigned to this subtheme because they have expertise in waste management, circular economy, and sustainability assessments, which are relevant to municipal waste recycling.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Textile Waste;Manfredi Simone;Mancini Lucia;Spiliotopoulos Christoforos;These experts are assigned to this subtheme because they have expertise in circular economy, textile waste management, and sustainability assessments, which are relevant to textile waste recycling.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;Foster Gillian;Gaudillat Pierre;Saveyn Hans;These experts are assigned to this subtheme because they have expertise in circular economy, waste management, and clean technologies, which are crucial for plastic and packaging recycling.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging - Bio-based plastics;Guerreiro Miguel MÈcia;Mathieux Fabrice;Seigneur Isabelle;These experts are assigned to this subtheme because they have expertise in circular economy, bio-based plastics, and sustainability assessments, which are relevant to bio-based plastic recycling.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Vehicle Circularity;Bobba Silvia;Bruchhausen Matthias;Lebedeva Natalia;These experts are assigned to this subtheme because they have expertise in vehicle design, energy storage, and circular economy, which are relevant to vehicle circularity.
TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Bruchhausen Matthias;Georgitzikis Konstantinos;Lebedeva Natalia;These experts are assigned to this subtheme because they have expertise in energy storage, battery recycling, and critical raw materials, which are crucial for batteries recycling.
TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;Coelho Fernando;Mathieux Fabrice;Maury Thibaut;These experts are assigned to this subtheme because they have expertise in critical raw materials, extraction, and import, which are relevant to securing a sustainable supply of critical raw materials.
TA3_Industrial strategy for a clean and circular economy;Net-Zero Technology - Manufacturing;Eder Peter;Gaudillat Pierre;Sala Serenella;These experts are assigned to this subtheme because they have expertise in circular economy, clean technologies, and net-zero technology manufacturing, which are crucial for achieving net-zero emissions.
