"source_policydoc;impact_policydoc;impact_type;impact_weight;justification
EU Biodiversity Strategy for 2030;Directive 2010/75/EU of the European Parliament and of the Council;+;2;The EU Biodiversity Strategy for 2030 aims to protect and restore ecosystems, which can reinforce the implementation of the Directive 2010/75/EU of the European Parliament and of the Council by ensuring that industrial activities do not harm biodiversity.
EU Biodiversity Strategy for 2030;On the quality of water intended for human consumption;+;1;The EU Biodiversity Strategy for 2030 can enable the achievement of the On the quality of water intended for human consumption by protecting aquatic ecosystems.
On Nature Restoration;Pathway to a Healthy Planet for All EU Action Plan;+;3;The On Nature Restoration policy document can significantly aid the Pathway to a Healthy Planet for All EU Action Plan by restoring ecosystems and enhancing biodiversity.
EU Biodiversity Strategy for 2030;European assessment framework for ‘safe and sustainable by design’ chemicals and materials;+;2;The EU Biodiversity Strategy for 2030 can reinforce the European assessment framework for ‘safe and sustainable by design’ chemicals and materials by promoting sustainable practices.
On Nature Restoration;On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;+;1;The On Nature Restoration policy document can enable the On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal by providing data on ecosystem restoration.
EU Biodiversity Strategy for 2030;on ambient air quality and cleaner air for Europe;+;2;The EU Biodiversity Strategy for 2030 can aid the on ambient air quality and cleaner air for Europe by reducing air pollution from industrial activities.
On Nature Restoration;Pathway to a Healthy Planet for All EU Action Plan;+;3;The On Nature Restoration policy document is crucial for the Pathway to a Healthy Planet for All EU Action Plan as it restores ecosystems and promotes biodiversity conservation.
EU Soil Strategy for 2030;On Nature Restoration;+;2;The EU Soil Strategy for 2030 can reinforce the On Nature Restoration by protecting soil health and promoting sustainable land use.
Regulation on plant reproductive material;EU Biodiversity Strategy for 2030;+;1;The Regulation on plant reproductive material can enable the EU Biodiversity Strategy for 2030 by ensuring the use of sustainable plant reproductive materials in agriculture.
Ensuring resilient and sustainable use of EU's natural resources;EU Biodiversity Strategy for 2030;+;3;The Ensuring resilient and sustainable use of EU's natural resources policy document can significantly aid the EU Biodiversity Strategy for 2030 by promoting sustainable resource use and reducing the EU’s ecological footprint.
On Nature Restoration;Regulation on forest reproductive material;+;2;The On Nature Restoration policy document can reinforce the Regulation on forest reproductive material by restoring forests and promoting sustainable forestry practices.
EU Biodiversity Strategy for 2030;On Nature Restoration;+;3;The EU Biodiversity Strategy for 2030 is inextricably linked with the On Nature Restoration, as both aim to protect and restore ecosystems.
On Nature Restoration;On Nature Restoration;+;3;The On Nature Restoration policy document is self-reinforcing, as restoring ecosystems can further enable nature restoration.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;3;The On Nature Restoration policy document can significantly aid the EU Biodiversity Strategy for 2030 by restoring ecosystems and promoting biodiversity conservation."
