source_subtheme;impact_subtheme;impact_type;impact_weight ;justification
GHG Reduction;Improve Air Quality ;+ ;+3 ;The implementation of the GHG reduction target can positively influence the Improve Air Quality subtheme by reducing emissions and improving air quality, which in turn can aid in achieving the target of improving air quality.
GHG Reduction ;Improve Water Quality ;+ ; +2 ;The GHG reduction target can reinforce the Improve Water Quality subtheme by reducing emissions and improving water quality, which can aid in achieving the target of improving water quality.
GHG Reduction ;Improve Soils Health ;+ ; +1 ;The GHG reduction target can enable the Improve Soils Health subtheme by reducing emissions and improving soil health, which can aid in achieving the target of improving soil health.
GHG Reduction ;Noise Reduction ;+ ; +1 ;The GHG reduction target can aid the Noise Reduction subtheme by reducing emissions and improving noise reduction, which can aid in achieving the target of reducing noise pollution.
GHG Reduction ;Social Security - Sanitation ;+ ; +1 ;The GHG reduction target can aid the Social Security - Sanitation subtheme by reducing emissions and improving sanitation, which can aid in achieving the target of improving sanitation.
Renewable Energy ;Improve Air Quality ;+ ; +3 ;The Renewable Energy subtheme can positively influence the Improve Air Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving air quality.
Renewable Energy ;Improve Water Quality ;+ ; +2 ;The Renewable Energy subtheme can reinforce the Improve Water Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving water quality.
Renewable Energy ;Improve Soils Health ;+ ; +1 ;The Renewable Energy subtheme can enable the Improve Soils Health subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving soil health.
Renewable Energy ;Noise Reduction ;+ ; +1 ;The Renewable Energy subtheme can aid the Noise Reduction subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of reducing noise pollution.
Renewable Energy ;Social Security - Energy ;+ ; +1 ;The Renewable Energy subtheme can aid the Social Security - Energy subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving energy access.
Renewable Energy - Heating & Cooling ;Improve Air Quality ;+ ; +3 ;The Renewable Energy - Heating & Cooling subtheme can positively influence the Improve Air Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving air quality.
Renewable Energy - Heating & Cooling ;Improve Water Quality ;+ ; +2 ;The Renewable Energy - Heating & Cooling subtheme can reinforce the Improve Water Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving water quality.
Renewable Energy - Heating & Cooling ;Improve Soils Health ;+ ; +1 ;The Renewable Energy - Heating & Cooling subtheme can enable the Improve Soils Health subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving soil health.
Renewable Energy - Heating & Cooling ;Noise Reduction ;+ ; +1 ;The Renewable Energy - Heating & Cooling subtheme can aid the Noise Reduction subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of reducing noise pollution.
Renewable Energy - Heating & Cooling ;Social Security - Energy ;+ ; +1 ;The Renewable Energy - Heating & Cooling subtheme can aid the Social Security - Energy subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving energy access.
Renewable Energy - Hydrogen Production ;Improve Air Quality ;+ ; +3 ;The Renewable Energy - Hydrogen Production subtheme can positively influence the Improve Air Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving air quality.
Renewable Energy - Hydrogen Production ;Improve Water Quality ;+ ; +2 ;The Renewable Energy - Hydrogen Production subtheme can reinforce the Improve Water Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving water quality.
Renewable Energy - Hydrogen Production ;Improve Soils Health ;+ ; +1 ;The Renewable Energy - Hydrogen Production subtheme can enable the Improve Soils Health subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving soil health.
Renewable Energy - Hydrogen Production ;Noise Reduction ;+ ; +1 ;The Renewable Energy - Hydrogen Production subtheme can aid the Noise Reduction subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of reducing noise pollution.
Renewable Energy - Hydrogen Production ;Social Security - Energy ;+ ; +1 ;The Renewable Energy - Hydrogen Production subtheme can aid the Social Security - Energy subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving energy access.
Renewable Energy - Ocean/Offshore ;Improve Air Quality ;+ ; +3 ;The Renewable Energy - Ocean/Offshore subtheme can positively influence the Improve Air Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving air quality.
Renewable Energy - Ocean/Offshore ;Improve Water Quality ;+ ; +2 ;The Renewable Energy - Ocean/Offshore subtheme can reinforce the Improve Water Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving water quality.
Renewable Energy - Ocean/Offshore ;Improve Soils Health ;+ ; +1 ;The Renewable Energy - Ocean/Offshore subtheme can enable the Improve Soils Health subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving soil health.
