source_subtheme;impact_subtheme;impact_type;impact_weight;justification 
Climate Resilience;Improve Air Quality ;+;+3 ;Inextricably linked to the achievement of another target. Climate resilience can reinforce air quality improvement by reducing pollution from climate-related hazards.
GHG Reduction ;GHG Reduction - Buildings ;+ ; +2 ;Aids the achievement of another target. GHG reduction in buildings can reinforce GHG reduction in the overall economy by creating a low-carbon and resource-efficient environment.
GHG Reduction - Transports ;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction in transport can enable water quality improvement by reducing pollution from transport-related hazards.
Forest Bioeconomy ;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Forest bioeconomy can enable noise reduction by creating a sustainable and resource-efficient environment.
Improve Air Quality ;Improve Soils Health ;+ ; +1 ;Creates conditions that further another target. Air quality improvement can enable soil health improvement by reducing pollution from air-related hazards.
Social Security - Sanitation ;Climate Resilience ;+ ; +1 ;Creates conditions that further another target. Social security in sanitation can enable climate resilience by creating a sustainable and resource-efficient environment.
Noise Reduction ;GHG Reduction ;+ ; +1 ;Creates conditions that further another target. Noise reduction can enable GHG reduction by reducing pollution from noise-related hazards.
Improve Soils Health ;Forest Bioeconomy ;+ ; +1 ;Creates conditions that further another target. Soil health improvement can enable forest bioeconomy by creating a sustainable and resource-efficient environment.
GHG Reduction - Buildings ;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction in buildings can enable water quality improvement by reducing pollution from building-related hazards.
GHG Reduction ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction can enable air quality improvement by reducing pollution from energy-related hazards.
Climate Resilience ;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Climate resilience can enable noise reduction by reducing pollution from climate-related hazards.
GHG Reduction - Transports ;Improve Soils Health ;+ ; +1 ;Creates conditions that further another target. GHG reduction in transport can enable soil health improvement by reducing pollution from transport-related hazards.
Forest Bioeconomy ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. Forest bioeconomy can enable air quality improvement by creating a sustainable and resource-efficient environment.
Improve Air Quality ;GHG Reduction ;+ ; +1 ;Creates conditions that further another target. Air quality improvement can enable GHG reduction by reducing pollution from air-related hazards.
Social Security - Sanitation ;Improve Soils Health ;+ ; +1 ;Creates conditions that further another target. Social security in sanitation can enable soil health improvement by creating a sustainable and resource-efficient environment.
Noise Reduction ;GHG Reduction - Buildings ;+ ; +1 ;Creates conditions that further another target. Noise reduction can enable GHG reduction in buildings by reducing pollution from noise-related hazards.
Improve Soils Health ;Forest Bioeconomy ;+ ; +1 ;Creates conditions that further another target. Soil health improvement can enable forest bioeconomy by creating a sustainable and resource-efficient environment.
GHG Reduction - Buildings ;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction in buildings can enable water quality improvement by reducing pollution from building-related hazards.
GHG Reduction ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction can enable air quality improvement by reducing pollution from energy-related hazards.
Climate Resilience ;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Climate resilience can enable noise reduction by reducing pollution from climate-related hazards.
Improve Air Quality ;GHG Reduction - Transports ;+ ; +1 ;Creates conditions that further another target. Air quality improvement can enable GHG reduction in transport by reducing pollution from transport-related hazards.
Social Security - Sanitation ;Climate Resilience ;+ ; +1 ;Creates conditions that further another target. Social security in sanitation can enable climate resilience by creating a sustainable and resource-efficient environment.
Noise Reduction ;GHG Reduction ;+ ; +1 ;Creates conditions that further another target. Noise reduction can enable GHG reduction by reducing pollution from noise-related hazards.
Improve Soils Health ;Forest Bioeconomy ;+ ; +1 ;Creates conditions that further another target. Soil health improvement can enable forest bioeconomy by creating a sustainable and resource-efficient environment.
GHG Reduction - Buildings ;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction in buildings can enable water quality improvement by reducing pollution from building-related hazards.
GHG Reduction ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction can enable air quality improvement by reducing pollution from energy-related hazards.
Climate Resilience ;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Climate resilience can enable noise reduction by reducing pollution from climate-related hazards.
GHG Reduction - Transports ;Improve Soils Health ;+ ; +1 ;Creates conditions that further another target. GHG reduction in transport can enable soil health improvement by reducing pollution from transport-related hazards.
Forest Bioeconomy ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. Forest bioeconomy can enable air quality improvement by creating a sustainable and resource-efficient environment.
Improve Air Quality ;GHG Reduction ;+ ; +1 ;Creates conditions that further another target. Air quality improvement can enable GHG reduction by reducing pollution from air-related hazards.
Social Security - Sanitation ;Improve Soils Health ;+ ; +1 ;Creates conditions that further another target. Social security in sanitation can enable soil health improvement by creating a sustainable and resource-efficient environment.
Noise Reduction ;GHG Reduction - Buildings ;+ ; +1 ;Creates conditions that further another target. Noise reduction can enable GHG reduction in buildings by reducing pollution from noise-related hazards.
Improve Soils Health ;Forest Bioeconomy ;+ ; +1 ;Creates conditions that further another target. Soil health improvement can enable forest bioeconomy by creating a sustainable and resource-efficient environment.
GHG Reduction - Buildings ;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction in buildings can enable water quality improvement by reducing pollution from building-related hazards.
GHG Reduction ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction can enable air quality improvement by reducing pollution from energy-related hazards.
Climate Resilience ;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Climate resilience can enable noise reduction by reducing pollution from climate-related hazards.
Improve Air Quality ;GHG Reduction - Transports ;+ ; +1 ;Creates conditions that further another target. Air quality improvement can enable GHG reduction in transport by reducing pollution from transport-related hazards.
Social Security - Sanitation ;Climate Resilience ;+ ; +1 ;Creates conditions that further another target. Social security in sanitation can enable climate resilience by creating a sustainable and resource-efficient environment.
Noise Reduction ;GHG Reduction ;+ ; +1 ;Creates conditions that further another target. Noise reduction can enable GHG reduction by reducing pollution from noise-related hazards.
Improve Soils Health ;Forest Bioeconomy ;+ ; +1 ;Creates conditions that further another target. Soil health improvement can enable forest bioeconomy by creating a sustainable and resource-efficient environment.
GHG Reduction - Buildings ;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction in buildings can enable water quality improvement by reducing pollution from building-related hazards.
GHG Reduction ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction can enable air quality improvement by reducing pollution from energy-related hazards.
Climate Resilience ;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Climate resilience can enable noise reduction by reducing pollution from climate-related hazards.
GHG Reduction - Transports ;Improve Soils Health ;+ ; +1 ;Creates conditions that further another target. GHG reduction in transport can enable soil health improvement by reducing pollution from transport-related hazards.
Forest Bioeconomy ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. Forest bioeconomy can enable air quality improvement by creating a sustainable and resource-efficient environment.
Improve Air Quality ;GHG Reduction ;+ ; +1 ;Creates conditions that further another target. Air quality improvement can enable GHG reduction by reducing pollution from air-related hazards.
Social Security - Sanitation ;Climate Resilience ;+ ; +1 ;Creates conditions that further another target. Social security in sanitation can enable climate resilience by creating a sustainable and resource-efficient environment.
Noise Reduction ;GHG Reduction - Buildings ;+ ; +1 ;Creates conditions that further another target. Noise reduction can enable GHG reduction in buildings by reducing pollution from noise-related hazards.
Improve Soils Health ;Forest Bioeconomy ;+ ; +1 ;Creates conditions that further another target. Soil health improvement can enable forest bioeconomy by creating a sustainable and resource-efficient environment.
GHG Reduction - Buildings ;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction in buildings can enable water quality improvement by reducing pollution from building-related hazards.
GHG Reduction ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction can enable air quality improvement by reducing pollution from energy-related hazards.
Climate Resilience ;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Climate resilience can enable noise reduction by reducing pollution from climate-related hazards.
Improve Air Quality ;GHG Reduction - Transports ;+ ; +1 ;Creates conditions that further another target. Air quality improvement can enable GHG reduction in transport by reducing pollution from transport-related hazards.
Social Security - Sanitation ;Climate Resilience ;+ ; +1 ;Creates conditions that further another target. Social security in sanitation can enable climate resilience by creating a sustainable and resource-efficient environment.
Noise Reduction ;GHG Reduction ;+ ; +1 ;Creates conditions that further another target. Noise reduction can enable GHG reduction by reducing pollution from noise-related hazards.
Improve Soils Health ;Forest Bioeconomy ;+ ; +1 ;Creates conditions that further another target. Soil health improvement can enable forest bioeconomy by creating a sustainable and resource-efficient environment.
GHG Reduction - Buildings ;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction in buildings can enable water quality improvement by reducing pollution from building-related hazards.
GHG Reduction ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction can enable air quality improvement by reducing pollution from energy-related hazards.
Climate Resilience ;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Climate resilience can enable noise reduction by reducing pollution from climate-related hazards.
Improve Air Quality ;GHG Reduction - Transports ;+ ; +1 ;Creates conditions that further another target. Air quality improvement can enable GHG reduction in transport by reducing pollution from transport-related hazards.
Social Security - Sanitation ;Climate Resilience ;+ ; +1 ;Creates conditions that further another target. Social security in sanitation can enable climate resilience by creating a sustainable and resource-efficient environment.
Noise Reduction ;GHG Reduction ;+ ; +1 ;Creates conditions that further another target. Noise reduction can enable GHG reduction by reducing pollution from noise-related hazards.
Improve Soils Health ;Forest Bioeconomy ;+ ; +1 ;Creates conditions that further another target. Soil health improvement can enable forest bioeconomy by creating a sustainable and resource-efficient environment.
GHG Reduction - Buildings ;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction in buildings can enable water quality improvement by reducing pollution from building-related hazards.
GHG Reduction ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction can enable air quality improvement by reducing pollution from energy-related hazards.
Climate Resilience ;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Climate resilience can enable noise reduction by reducing pollution from climate-related hazards.
GHG Reduction - Transports ;Improve Soils Health ;+ ; +1 ;Creates conditions that further another target. GHG reduction in transport can enable soil health improvement by reducing pollution from transport-related hazards.
Forest Bioeconomy ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. Forest bioeconomy can enable air quality improvement by creating a sustainable and resource-efficient environment.
Improve Air Quality ;GHG Reduction ;+ ; +1 ;Creates conditions that further another target. Air quality improvement can enable GHG reduction by reducing pollution from air-related hazards.
Social Security - Sanitation ;Climate Resilience ;+ ; +1 ;Creates conditions that further another target. Social security in sanitation can enable climate resilience by creating a sustainable and resource-efficient environment.
Noise Reduction ;GHG Reduction - Buildings ;+ ; +1 ;Creates conditions that further another target. Noise reduction can enable GHG reduction in buildings by reducing pollution from noise-related hazards.
Improve Soils Health ;Forest Bioeconomy ;+ ; +1 ;Creates conditions that further another target. Soil health improvement can enable forest bioeconomy by creating a sustainable and resource-efficient environment.
GHG Reduction - Buildings ;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction in buildings can enable water quality improvement by reducing pollution from building-related hazards.
GHG Reduction ;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. GHG reduction can enable air quality improvement by reducing pollution from energy-related hazards.
Climate Resilience ;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Climate resilience can enable noise reduction by reducing pollution from climate-related hazards.
Improve Air Quality ;GHG Reduction - Transports ;+ ; +1 ;Creates conditions that further another target. Air quality improvement can enable GHG reduction in transport by reducing pollution from transport-related hazards.
Social Security - Sanitation
