target_code;target_content;thematic_area;sub_theme;justification
TA6.14; There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS) Biodiversity Strategy; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation;" This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it directly addresses the conservation of species threatened by invasive alien species."
TA6.40; (pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollina- tor populations at the latest by 2030 and thereafter achieve an increasing trend of pollinator populations, measured at least every six years from 2030, until satisfactory levels are achieved, as set in accordance with Article 14(5).\n'Nature Restoration Law'\nParallel target of the Biodiversity Strategy: “5. The decline of pollinators is reversed”; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation;" This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to improve pollinator diversity and reverse the decline of pollinator populations."
TA6.39; Natural connectivity of rivers and natural functions\nof the related floodplains. Member States shall make an inventory of artificial barriers and remove them to connectivity of surface waters and, taking into account their socio-economic functions, identify the barriers that need to be removed to contribute to the achieve- ment of the restoration targets set out in Article 4 of this Regulation and of the objective of restoring at least 25.000 km of rivers into free-flowing rivers in the Union.\n'Nature Restoration Law'\n(Parallel target of the Biodiversity Strategy: “11. At least 25.000 km of free-flowing rivers are restored”); TA6_Preserving and protecting biodiversity; Terrestrial Ecosystems Restoration - Rivers;" This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Rivers"" because it focuses on restoring natural connectivity of rivers and floodplains."
TA6.10; 7. At least 10% of agricultural area is under high-diversity landscape features Biodiversity Strategy; TA6_Preserving and protecting biodiversity; Terrestrial Ecosystems Restoration - Agricultural Ecosystems;" This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Agricultural Ecosystems"" because it aims to increase the area of agricultural land with high-diversity landscape features."
TA6.29; Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union tar- get, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.\n'Nature Restoration Law'; TA6_Preserving and protecting biodiversity; Terrestrial Ecosystems Restoration;" This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on restoring terrestrial ecosystems."
TA5.3; Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Competitive Agriculture;" This target is assigned to the sub-theme ""Competitive Agriculture"" because it aims to reduce nutrient losses while maintaining soil fertility, which is crucial for agricultural productivity."
TA2.13; The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or\n(ii) GHG intensity reduction of at least 14.5 % by 2030, compared to the baseline set out in Article 27(1), in accordance with an indicative trajectory set by the Member State.\nRED III (Directive (EU) 2023/2413); TA2_Clean, affordable and secure energy; Renewable Energy;" This target is assigned to the sub-theme ""Renewable Energy"" because it aims to increase the share of renewable energy in the transport sector."
TA2.18; Indicative target of at least a 49% share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030. RED III (Directive (EU) 2023/2413); TA2_Clean, affordable and secure energy; Renewable Energy - Heating & Cooling;" This target is assigned to the sub-theme ""Renewable Energy - Heating & Cooling"" because it focuses on increasing the share of renewable energy in the building sector."
TA6.3; 2.a Strictly protect at least a third of the EU'S protected areas; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation;" This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to strictly protect a significant portion of the EU's protected areas."
TA3.48; The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25 % of plastic recycled by weight from post-consumer plastic waste. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Vehicle Circularity;" This target is assigned to the sub-theme ""Circularity/Recycling - Vehicle Circularity"" because it focuses on increasing the use of recycled plastic in vehicle production."
