source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;Transport Logistics;+;+3 ;Inextricably linked to the achievement of another target. Improved transport logistics can aid the achievement of GHG reduction targets by reducing emissions from transportation and increasing energy efficiency.
GHG Reduction;Net-Zero Technology - Road Vehicles ;+ ; +2 ;Reinforcing. The implementation of net-zero technology in road vehicles can aid the achievement of GHG reduction targets by reducing emissions from transportation and increasing energy efficiency.
GHG Reduction;Hydrogen Distribution ;+ ; +1 ;Enabling. The development of hydrogen distribution infrastructure can aid the achievement of GHG reduction targets by providing a low-carbon energy source and increasing energy efficiency.
GHG Reduction;Urban Mobility ;+ ; +1 ;Enabling. The implementation of urban mobility solutions can aid the achievement of GHG reduction targets by reducing emissions from transportation and increasing energy efficiency.
GHG Reduction;Marine Ecosystem Restoration ;+ ; +1 ;Enabling. The restoration of marine ecosystems can aid the achievement of GHG reduction targets by reducing emissions from transportation and increasing energy efficiency.
GHG Reduction;Biodiversity Protection & Conservation ;+ ; +1 ;Enabling. The protection and conservation of biodiversity can aid the achievement of GHG reduction targets by reducing emissions from transportation and increasing energy efficiency.
GHG Reduction;Biodiversity Protection & Conservation - Fisheries ;+ ; +1 ;Enabling. The protection and conservation of biodiversity in fisheries can aid the achievement of GHG reduction targets by reducing emissions from transportation and increasing energy efficiency.
GHG Reduction;Biodiversity Protection & Conservation - Monitoring ;+ ; +1 ;Enabling. The monitoring of biodiversity can aid the achievement of GHG reduction targets by reducing emissions from transportation and increasing energy efficiency.
GHG Reduction;Biodiversity Protection & Conservation - Urban Nature ;+ ; +1 ;Enabling. The protection and conservation of biodiversity in urban nature can aid the achievement of GHG reduction targets by reducing emissions from transportation and increasing energy efficiency.
Terrestrial Ecosystems Restoration;Transport Logistics ;+ ; +3 ;Inextricably linked to the achievement of another target. Improved transport logistics can aid the achievement of terrestrial ecosystems restoration targets by reducing emissions from transportation and increasing energy efficiency.
Terrestrial Ecosystems Restoration;Net-Zero Technology - Road Vehicles ;+ ; +2 ;Reinforcing. The implementation of net-zero technology in road vehicles can aid the achievement of terrestrial ecosystems restoration targets by reducing emissions from transportation and increasing energy efficiency.
Terrestrial Ecosystems Restoration;Hydrogen Distribution ;+ ; +1 ;Enabling. The development of hydrogen distribution infrastructure can aid the achievement of terrestrial ecosystems restoration targets by providing a low-carbon energy source and increasing energy efficiency.
Terrestrial Ecosystems Restoration;Urban Mobility ;+ ; +1 ;Enabling. The implementation of urban mobility solutions can aid the achievement of terrestrial ecosystems restoration targets by reducing emissions from transportation and increasing energy efficiency.
Terrestrial Ecosystems Restoration;Marine Ecosystem Restoration ;+ ; +1 ;Enabling. The restoration of marine ecosystems can aid the achievement of terrestrial ecosystems restoration targets by reducing emissions from transportation and increasing energy efficiency.
Terrestrial Ecosystems Restoration;Biodiversity Protection & Conservation ;+ ; +1 ;Enabling. The protection and conservation of biodiversity can aid the achievement of terrestrial ecosystems restoration targets by reducing emissions from transportation and increasing energy efficiency.
Terrestrial Ecosystems Restoration;Biodiversity Protection & Conservation - Fisheries ;+ ; +1 ;Enabling. The protection and conservation of biodiversity in fisheries can aid the achievement of terrestrial ecosystems restoration targets by reducing emissions from transportation and increasing energy efficiency.
Terrestrial Ecosystems Restoration;Biodiversity Protection & Conservation - Monitoring ;+ ; +1 ;Enabling. The monitoring of biodiversity can aid the achievement of terrestrial ecosystems restoration targets by reducing emissions from transportation and increasing energy efficiency.
Terrestrial Ecosystems Restoration;Biodiversity Protection & Conservation - Urban Nature ;+ ; +1 ;Enabling. The protection and conservation of biodiversity in urban nature can aid the achievement of terrestrial ecosystems restoration targets by reducing emissions from transportation and increasing energy efficiency.
Rail;Transport Logistics ;+ ; +3 ;Inextricably linked to the achievement of another target. Improved transport logistics can aid the achievement of rail targets by reducing emissions from transportation and increasing energy efficiency.
Rail;Net-Zero Technology - Road Vehicles ;+ ; +2 ;Reinforcing. The implementation of net-zero technology in road vehicles can aid the achievement of rail targets by reducing emissions from transportation and increasing energy efficiency.
Rail;Hydrogen Distribution ;+ ; +1 ;Enabling
