target_code;target_content;thematic_area;sub_theme;justification
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;This target is assigned to the sub-theme "Food affordability" because it focuses on ensuring access to sufficient and nutritious food, which is a key aspect of food affordability.
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality;This target is also assigned to the sub-theme "Food quality" because it mentions "nutritious and sustainable food", which is related to the quality of food.
TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the sub-theme "Food quality - Healthy Food" because it focuses on reformulating food products to make them healthier and more sustainable.
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality;This target is assigned to the sub-theme "Food quality" because it mentions "quality, safe, sustainable, nutritious food", which is related to the quality of food.
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;This target is also assigned to the sub-theme "Food affordability" because it focuses on ensuring access to food, which is a key aspect of food affordability.
TA5.33;Move to healthier and more sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the sub-theme "Food quality - Healthy Food" because it focuses on promoting healthier and more sustainable diets.
TA5.34;Reverse prevalence of overweight and diet-related diseases;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the sub-theme "Food quality - Healthy Food" because it focuses on reducing the prevalence of diet-related diseases, which is related to the quality of food.
TA5.35;Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;This target is assigned to the sub-theme "Food affordability" because it focuses on strengthening the resilience of the food system, which is related to ensuring access to food.
TA5.4;Reduce by 50% the use of more hazardous pesticides;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Pesticides Reduction;This target is assigned to the sub-theme "Pesticides Reduction" because it focuses on reducing the use of hazardous pesticides.
TA5.5;Reduce by 50% the use and risk of chemical pesticides;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Pesticides Reduction;This target is assigned to the sub-theme "Pesticides Reduction" because it focuses on reducing the use and risk of chemical pesticides.
TA5.6;Increase sustainable fishing and aquaculture.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Biodiversity Protection & Conservation - Fisheries;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Fisheries" because it focuses on promoting sustainable fishing and aquaculture.
TA5.7;Tackle climate change: climate change adaptation and mitigation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;GHG Reduction;This target is assigned to the sub-theme "GHG Reduction" because it focuses on mitigating climate change.
TA5.8;Sustainable use of water.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improve Water Quality;This target is assigned to the sub-theme "Improve Water Quality" because it focuses on promoting sustainable water use.
TA5.9;Increase organic farming;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Agricultural Ecosystems" because it focuses on promoting organic farming.
TA6.1;Legally protect a minimum of 30% of the EU's land area;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is assigned to the sub-theme "Biodiversity Protection & Conservation" because it focuses on protecting a minimum of 30% of the EU's land area.
TA6.10;At least 10% of agricultural area is under high-diversity landscape features;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Agricultural Ecosystems" because it focuses on promoting high-diversity landscape features in agricultural areas.
TA6.11;Three billion trees are planted in the EU;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Forests" because it focuses on planting trees.
TA6.12;Significant progress in the remediation of contaminated soil sites;TA6_Preserving and protecting biodiversity;Improve Soils Health;This target is assigned to the sub-theme "Improve Soils Health" because it focuses on remediating contaminated soil sites.
TA6.13;At least 25.000 km of free-flowing rivers are restored;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Rivers;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Rivers" because it focuses on restoring free-flowing rivers.
TA6.14;50% reduction in the number of Red List species threatened by invasive alien species;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is assigned to the sub-theme "Biodiversity Protection & Conservation" because it focuses on reducing the number of threatened species.
TA6.15;50% reduction in the losses of nutrients from fertilisers;TA6_Preserving and protecting biodiversity;Improve Soils Health;This target is assigned to the sub-theme "Improve Soils Health" because it focuses on reducing nutrient losses from fertilisers.
TA6.16;Cities with at least 20.000 inhabitants have an ambitious Urban Greening Plan;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Urban Nature;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Urban Nature" because it focuses on promoting urban greening plans.
TA6.17;Substantially reduce the negative impacts on sensitive species and habitats;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is assigned to the sub-theme "Biodiversity Protection & Conservation" because it focuses on reducing negative impacts on sensitive species and habitats.
TA6.18;Eliminate or reduce the by-catch of species;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Fisheries;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Fisheries" because it focuses on reducing by-catch.
TA6.2;Legally protect a minimum of 30% of the EU's sea area;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;This target is assigned to the sub-theme "Marine Ecosystem Restoration" because it focuses on protecting a minimum of 30% of the EU's sea area.
TA6.21;Combat desertification, restore degraded land and soil;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration" because it focuses on restoring degraded land and soil.
TA6.26;Minimise or eliminate the use of pesticides in sensitive areas;TA6_Preserving and protecting biodiversity;Pesticides Reduction;This target is assigned to the sub-theme "Pesticides Reduction" because it focuses on minimising or eliminating pesticide use in sensitive areas.
TA6.27;Optimise exploitation patterns to provide protection for juveniles and spawning aggregations;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Fisheries;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Fisheries" because it focuses on protecting juveniles and spawning aggregations.
TA6.28;All harvested stocks should be fished at maximum sustainable yield;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Fisheries;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Fisheries" because it focuses on promoting sustainable fishing practices.
TA6.3;Strictly protect at least a third of the EU'S protected areas;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is assigned to the sub-theme "Biodiversity Protection & Conservation" because it focuses on protecting a third of the EU's protected areas.
TA6.32;Member States shall put in place effective and area-based restoration measures;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration" because it focuses on promoting restoration measures.
TA6.33;Member States shall put in place effective and area-based restoration measures;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;This target is assigned to the sub-theme "Marine Ecosystem Restoration" because it focuses on promoting restoration measures in marine ecosystems.
TA6.34;Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration" because it focuses on improving the condition of habitat types.
TA6.35;Member States shall put in place the restoration measures that are necessary to re-establish the habitat types;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration" because it focuses on re-establishing habitat types.
TA6.36;Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration" because it focuses on restoring habitats.
TA6.37;Member States shall ensure that the condition is known for at least 90% of area distributed overall habitat types;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Monitoring;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Monitoring" because it focuses on monitoring the condition of habitat types.
TA6.38;Member States shall ensure that there is an increase of habitat area in good condition;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration" because it focuses on increasing the area of habitats in good condition.
TA6.39;Member States shall ensure that there is no net loss in the total national area of urban green space;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Urban Nature;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Urban Nature" because it focuses on promoting urban green spaces.
TA6.4;Strictly protect all remaining EU primary and old-growth forests;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Forests" because it focuses on protecting primary and old-growth forests.
TA6.40;Member States shall achieve thereafter an increasing trend in the total national area of urban green space;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Urban Nature;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Urban Nature" because it focuses on promoting urban green spaces.
TA6.41;Member States shall achieve, in each urban ecosystem area, an increasing trend of urban tree canopy cover;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Urban Nature;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Urban Nature" because it focuses on promoting urban tree canopy cover.
TA6.42;Member States shall make an inventory of artificial barriers to connectivity of surface waters;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Rivers;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Rivers" because it focuses on restoring river connectivity.
TA6.43;Member States shall, by putting in place appropriate and effective measures, improve pollinator diversity;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is assigned to the sub-theme "Biodiversity Protection & Conservation" because it focuses on improving pollinator diversity.
TA6.44;Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types listed in Annex II;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;This target is assigned to the sub-theme "Marine Ecosystem Restoration" because it focuses on restoring marine habitats.
TA6.45;Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;This target is assigned to the sub-theme "Marine Ecosystem Restoration" because it focuses on re-establishing marine habitats.
TA6.46;Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Monitoring;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Monitoring" because it focuses on monitoring the condition of marine habitats.
TA6.47;Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Agricultural Ecosystems" because it focuses on promoting sustainable agricultural practices.
TA6.48;Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level reaches the following levels;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Agricultural Ecosystems" because it focuses on restoring farmland bird populations.
TA6.49;Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands;TA6_Preserving and protecting biodiversity;Improve Soils Health;This target is assigned to the sub-theme "Improve Soils Health" because it focuses on restoring organic soils.
TA6.5;Effectively manage all protected areas, defining clear conservation objectives and measures, and monitoring them appropriately;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is assigned to the sub-theme "Biodiversity Protection & Conservation" because it focuses on managing protected areas.
TA6.50;When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Forests" because it focuses on planting trees.
