A Farm to Fork Strategy;A Renovation Wave for Europe;+2;The EU food system is expected to benefit from the renovation wave initiative, as it will lead to increased energy efficiency in buildings, reducing energy consumption and greenhouse gas emissions, thus reinforcing the targets of reducing GHG emissions and improving energy efficiency in the food system.; 
A Farm to Fork Strategy;On packaging and packaging waste;+1;The implementation of the Farm to Fork Strategy may enable the EU to better achieve the targets related to packaging and packaging waste, as it promotes sustainable food systems and reduces food waste, which can lead to a decrease in packaging waste.; 
A Farm to Fork Strategy;Delivering on the EU offshore renewable energy ambitions;+1;The Farm to Fork Strategy may create conditions that further the achievement of the targets related to offshore renewable energy, as it promotes the use of renewable energy sources and reduces greenhouse gas emissions, which can lead to an increase in the use of offshore renewable energy sources.; 
A Farm to Fork Strategy;Powering a Climate neutrality economy;+1;The Farm to Fork Strategy may aid the achievement of the targets related to a climate-neutral economy, as it promotes the use of renewable energy sources and reduces greenhouse gas emissions, which can lead to a decrease in emissions from the energy sector.; 
A Farm to Fork Strategy;EU Solar Energy Strategy;+1;The Farm to Fork Strategy may create conditions that further the achievement of the targets related to the EU Solar Energy Strategy, as it promotes the use of renewable energy sources and reduces greenhouse gas emissions, which can lead to an increase in the use of solar energy.; 
On packaging and packaging waste;A Renovation Wave for Europe;-1;The implementation of the targets related to packaging and packaging waste may constrain the options for energy efficiency in buildings, as it may lead to an increase in energy consumption for recycling and waste treatment, thus limiting the achievement of energy efficiency targets.; 
On packaging and packaging waste;Delivering on the EU offshore renewable energy ambitions;-2;The implementation of the targets related to packaging and packaging waste may counteract the achievement of the targets related to offshore renewable energy, as it may lead to an increase in the use of fossil fuels for energy production, thus increasing greenhouse gas emissions and limiting the use of offshore renewable energy sources.; 
On packaging and packaging waste;Powering a Climate neutrality economy;-2;The implementation of the targets related to packaging and packaging waste may clash with the targets related to a climate-neutral economy, as it may lead to an increase in emissions from the energy sector, thus limiting the achievement of a climate-neutral economy.; 
On packaging and packaging waste;EU Solar Energy Strategy;-2;The implementation of the targets related to packaging and packaging waste may counteract the achievement of the targets related to the EU Solar Energy Strategy, as it may lead to an increase in energy consumption for recycling and waste treatment, thus limiting the use of solar energy sources.; 
Delivering on the EU offshore renewable energy ambitions;Powering a Climate neutrality economy;+3;The implementation of the targets related to offshore renewable energy may be inextricably linked to the achievement of the targets related to a climate-neutral economy, as it promotes the use of renewable energy sources and reduces greenhouse gas emissions, which can lead to a significant decrease in emissions from the energy sector.; 
Delivering on the EU offshore renewable energy ambitions;EU Solar Energy Strategy;+3;The implementation of the targets related to offshore renewable energy may be inextricably linked to the achievement of the targets related to the EU Solar Energy Strategy, as it promotes the use of renewable energy sources and reduces greenhouse gas emissions, which can lead to a significant increase in the use of solar energy sources.; 
Powering a Climate neutrality economy;EU Solar Energy Strategy;+2;The implementation of the targets related to a climate-neutral economy may reinforce the achievement of the targets related to the EU Solar Energy Strategy, as it promotes the use of renewable energy sources and reduces greenhouse gas emissions, which can lead to an increase in the use of solar energy sources.; 
EU Solar Energy Strategy;A Renovation Wave for Europe;-1;The implementation of the targets related to the EU Solar Energy Strategy may constrain the options for energy efficiency in buildings, as it may lead to an increase in energy consumption for the production of solar panels, thus limiting the achievement of energy efficiency targets.
