Circular Economy Action Plan;Energy from Renewable Sources;+2;The implementation of the Circular Economy Action Plan can reinforce the Energy from Renewable Sources policy document by promoting sustainable production and consumption patterns, which can lead to increased demand for renewable energy sources.
Concerning batteries and waste batteries;On packaging and packaging waste;+1;The Concerning batteries and waste batteries policy document can enable the On packaging and packaging waste policy document by setting recycling targets for batteries, which can lead to increased recycling of packaging waste.
On packaging and packaging waste;Critical Raw Materials;+1;The On packaging and packaging waste policy document can enable the Critical Raw Materials policy document by promoting the recycling of packaging waste, which can lead to increased availability of critical raw materials.
Critical Raw Materials;Net Zero Industry Act;+2;The Critical Raw Materials policy document can reinforce the Net Zero Industry Act policy document by promoting the development of sustainable raw material production and enhancing circularity, which can lead to increased competitiveness and resilience in the net-zero industry.
Net Zero Industry Act;Amending Directive 2008/98/EC on waste;+1;The Net Zero Industry Act policy document can enable the Amending Directive 2008/98/EC on waste policy document by promoting sustainable production and consumption patterns, which can lead to increased recycling and waste reduction.
Amending Directive 2008/98/EC on waste;On packaging and packaging waste;+1;The Amending Directive 2008/98/EC on waste policy document can enable the On packaging and packaging waste policy document by setting recycling targets for waste, which can lead to increased recycling of packaging waste.
On packaging and packaging waste;Energy from Renewable Sources;+1;The On packaging and packaging waste policy document can enable the Energy from Renewable Sources policy document by promoting sustainable production and consumption patterns, which can lead to increased demand for renewable energy sources.
Energy from Renewable Sources;Biofuels - Directive (EU) 2023/2413;+2;The Energy from Renewable Sources policy document can reinforce the Biofuels - Directive (EU) 2023/2413 policy document by promoting the development of renewable energy sources, which can lead to increased production of biofuels.
Biofuels - Directive (EU) 2023/2413;On ensuring a level playing field for sustainable air transport;+1;The Biofuels - Directive (EU) 2023/2413 policy document can enable the On ensuring a level playing field for sustainable air transport policy document by promoting the development of sustainable biofuels, which can lead to increased use of biofuels in air transport.
On ensuring a level playing field for sustainable air transport;Aviation Fuel - Regulation (EU) 2023/2405;+2;The On ensuring a level playing field for sustainable air transport policy document can reinforce the Aviation Fuel - Regulation (EU) 2023/2405 policy document by promoting sustainable air transport, which can lead to increased demand for sustainable aviation fuels.
Aviation Fuel - Regulation (EU) 2023/2405;On the deployment of alternative fuels infrastructure;+1;The Aviation Fuel - Regulation (EU) 2023/2405 policy document can enable the On the deployment of alternative fuels infrastructure policy document by promoting sustainable aviation fuels, which can lead to increased deployment of alternative fuel infrastructure.
On the deployment of alternative fuels infrastructure;On the Energy Transition of the EU Fisheries and Aquaculture sector;+1;The On the deployment of alternative fuels infrastructure policy document can enable the On the Energy Transition of the EU Fisheries and Aquaculture sector policy document by promoting sustainable energy production and consumption patterns, which can lead to increased energy efficiency in the fisheries and aquaculture sector.
On the Energy Transition of the EU Fisheries and Aquaculture sector;Amending Regulation (EU) 2019/1242;+2;The On the Energy Transition of the EU Fisheries and Aquaculture sector policy document can reinforce the Amending Regulation (EU) 2019/1242 policy document by promoting sustainable energy production and consumption patterns, which can lead to increased energy efficiency and reduced waste in the fisheries and aquaculture sector.
Amending Regulation (EU) 2019/1242;Sustainable and Smart Mobility Strategy;+1;The Amending Regulation (EU) 2019/1242 policy document can enable the Sustainable and Smart Mobility Strategy policy document by promoting sustainable production and consumption patterns, which can lead to increased demand for sustainable mobility solutions.
Sustainable and Smart Mobility Strategy;Hydrogen Strategy;+2;The Sustainable and Smart Mobility Strategy policy document can reinforce the Hydrogen Strategy policy document by promoting sustainable mobility solutions, which can lead to increased demand for hydrogen fuels.
Hydrogen Strategy;The new EU Urban Mobility Framework;+1;The Hydrogen Strategy policy document can enable The new EU Urban Mobility Framework policy document by promoting sustainable urban mobility solutions, which can lead to increased use of hydrogen fuels in urban transport.
