source_policydoc;impact_policydoc;impact_type;impact_weight;justification
European Climate Law;A Renovation Wave for Europe;+;2;The European Climate Law sets a framework for reducing greenhouse gas emissions, which can reinforce the targets of A Renovation Wave for Europe by promoting energy efficiency and renewable energy sources.
A Renovation Wave for Europe;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;A Renovation Wave for Europe can enable the implementation of energy efficiency measures outlined in On energy efficiency and amending Regulation (EU) 2023/955 (recast), creating conditions for further energy savings.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);Energy from Renewable Sources;+;2;On energy efficiency and amending Regulation (EU) 2023/955 (recast) can aid in the integration of renewable energy sources, as outlined in Energy from Renewable Sources, by improving energy efficiency and reducing energy consumption.
A Renovation Wave for Europe;On packaging and packaging waste;+;1;A Renovation Wave for Europe can create opportunities for reducing packaging waste, as targeted by On packaging and packaging waste, by promoting sustainable consumption patterns and reducing energy consumption.
On packaging and packaging waste;On the Energy Performance of Buildings (recast);+;1;On packaging and packaging waste can support the reduction of energy consumption in buildings, as targeted by On the Energy Performance of Buildings (recast), by promoting energy-efficient solutions and sustainable materials.
REPowerEU Plan;EU Solar Energy Strategy;+;2;The REPowerEU Plan can reinforce the targets of the EU Solar Energy Strategy by promoting the development of renewable energy sources, including solar energy, and creating a favorable environment for investment in the sector.
EU Solar Energy Strategy;Powering a Climate neutrality economy;+;1;The EU Solar Energy Strategy can enable the implementation of a climate-neutral economy, as outlined in Powering a Climate neutrality economy, by promoting the use of renewable energy sources and reducing greenhouse gas emissions.
Energy from Renewable Sources;Delivering on the EU offshore renewable energy ambitions;+;2;Energy from Renewable Sources can support the development of offshore renewable energy, as targeted by Delivering on the EU offshore renewable energy ambitions, by promoting the integration of renewable energy sources into the energy mix.
Delivering on the EU offshore renewable energy ambitions;A Renovation Wave for Europe;+;1;Delivering on the EU offshore renewable energy ambitions can create opportunities for reducing energy consumption in buildings, as targeted by A Renovation Wave for Europe, by promoting energy-efficient solutions and sustainable materials.
European Climate Law;On an EU Strategy to reduce methane emissions;+;2;The European Climate Law can reinforce the targets of On an EU Strategy to reduce methane emissions by promoting the reduction of greenhouse gas emissions and the development of renewable energy sources.
On an EU Strategy to reduce methane emissions;A Renovation Wave for Europe;+;1;On an EU Strategy to reduce methane emissions can support the implementation of energy efficiency measures outlined in A Renovation Wave for Europe, creating conditions for further energy savings and emissions reduction.
