source_subtheme;impact_subtheme;impact_type;impact_weight;justification
Food quality;Food quality - Animal Welfare;+2;Inextricably linked to the achievement of another target.
Food quality ;Food quality - Healthy Food;+1 ;Enabling conditions that further another target.
Food affordability ;Pesticides Reduction;+3 ;Indivisible from ensuring women’s full and effective participation and equal opportunities for leadership.
Competitive Agriculture ;Rail;+2 ;Aids the achievement of another target.
Social Security - Workers Protection;Net-Zero Technology - Road Vehicles;+1 ;Creates conditions that further another target.
Food quality ;Net-Zero Technology - Maritime Transport;+3 ;Inextricably linked to the achievement of another target.
Food quality - Animal Welfare ;Net-Zero Technology - Aviation;+2 ;Reinforcing the achievement of another target.
Food affordability ;Biofuels ;+1 ;Enabling conditions that further another target.
Competitive Agriculture ;Other Low-Carbon Fuels;+2 ;Aids the achievement of another target.
Social Security - Workers Protection;Hydrogen Distribution;+3 ;Indivisible from ensuring women’s full and effective participation and equal opportunities for leadership.
Food quality ;Urban Mobility ;+1 ;Creates conditions that further another target.
Food quality - Animal Welfare ;Transport Logistics;+2 ;Reinforcing the achievement of another target.
Food affordability ;Other Low-Carbon Fuels;+3 ;Inextricably linked to the achievement of another target.
Competitive Agriculture ;Hydrogen Distribution ;+2 ;Aids the achievement of another target.
Social Security - Workers Protection;Urban Mobility ;+1 ;
