source_subtheme;impact_subtheme;impact_type;impact_weight ;justification
GHG Reduction;Climate Resilience ;+ ;+3 ;The implementation of the GHG reduction target in List A can positively influence the Climate Resilience sub-theme in List B, as reducing GHG emissions can help mitigate climate change impacts and increase resilience to climate-related hazards.
GHG Reduction - Buildings ;GHG Reduction - TransportsGHG Removal ;+ ; +2 ;The GHG reduction targets in List A can reinforce the GHG reduction efforts in the building and transport sectors in List B, as these sectors are critical for achieving the overall GHG reduction goal.
Terrestrial Ecosystems Restoration ;Marine Ecosystem Restoration ;+ ; +1 ;The restoration of terrestrial ecosystems in List A can have a positive impact on the marine ecosystem restoration efforts in List B, as healthy terrestrial ecosystems can support biodiversity and ecosystem services that are essential for marine ecosystems.
Terrestrial Ecosystems Restoration - Rivers ;Terrestrial Ecosystems Restoration - Agricultural Ecosystems ;+ ; +1 ;The restoration of rivers and agricultural ecosystems in List A can have a positive impact on the overall terrestrial ecosystem restoration efforts in List B, as these ecosystems are interconnected and support biodiversity and ecosystem services.
Biodiversity Protection & Conservation ;Biodiversity Protection & Conservation - Fisheries ;+ ; +1 ;The protection and conservation of biodiversity in List A can have a positive impact on the biodiversity protection and conservation efforts in the fisheries sector in List B, as the fisheries sector is closely linked to biodiversity conservation.
Biodiversity Protection & Conservation - Monitoring ;+ ; +1 ;The monitoring of biodiversity in List A can have a positive impact on the biodiversity protection and conservation efforts in List B, as monitoring is essential for effective conservation and management of biodiversity.
Climate Resilience ;GHG Reduction - Buildings ;+ ; +1 ;The climate resilience efforts in List A can have a positive impact on the GHG reduction efforts in the building sector in List B, as climate resilience and GHG reduction are closely linked.
GHG Reduction - Buildings ;GHG Reduction - TransportsGHG Removal ;+ ; +1 ;The GHG reduction efforts in the building sector in List A can have a positive impact on the GHG reduction efforts in the transport sector in List B, as the transport sector is closely linked to the building sector.
Terrestrial Ecosystems Restoration ;Marine Ecosystem Restoration ;+ ; +1 ;The restoration of terrestrial ecosystems in List A can have a positive impact on the marine ecosystem restoration efforts in List B, as healthy terrestrial ecosystems can support biodiversity and ecosystem services that are essential for marine ecosystems.
Terrestrial Ecosystems Restoration - Rivers ;Terrestrial Ecosystems Restoration - Agricultural Ecosystems ;+ ; +1 ;The restoration of rivers and agricultural ecosystems in List A can have a positive impact on the overall terrestrial ecosystem restoration efforts in List B, as these ecosystems are interconnected and support biodiversity and ecosystem services.
Biodiversity Protection & Conservation ;Biodiversity Protection & Conservation - Fisheries ;+ ; +1 ;The protection and conservation of biodiversity in List A can have a positive impact on the biodiversity protection and conservation efforts in the fisheries sector in List B, as the fisheries sector is closely linked to biodiversity conservation.
Biodiversity Protection & Conservation - Monitoring ;+ ; +1 ;The monitoring of biodiversity in List A can have a positive impact on the biodiversity protection and conservation efforts in List B, as monitoring is essential for effective conservation and management of biodiversity.
Climate Resilience ;GHG Reduction - Buildings ;+ ; +1 ;The climate resilience efforts in List A can have a positive impact on the GHG reduction efforts in the building sector in List B, as climate resilience and GHG reduction are closely linked.
