"source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;Directive 2010/75/EU of the European Parliament and of the Council;+;2;The Farm to Fork Strategy aims to reduce the environmental footprint of the EU food system, which can reinforce the objectives of the Directive 2010/75/EU to prevent or reduce emissions from large industrial installations and intensive farming into the environment.
A Farm to Fork Strategy;Pathway to a Healthy Planet for All EU Action Plan;+;1;The Farm to Fork Strategy can enable the Pathway to a Healthy Planet for All EU Action Plan by promoting sustainable food systems and reducing pollution.
On Nature Restoration;On the quality of water intended for human consumption;+;2;The Nature Restoration Law can aid the quality of water intended for human consumption by restoring natural ecosystems that help maintain water quality.
On Nature Restoration;A Green Recovery for the Blue Economy – Transforming the EU's Blue Economy for a Sustainable Future;+;1;The Nature Restoration Law can support the Blue Economy Strategy by restoring coastal ecosystems and promoting sustainable blue economy practices.
EU Soil Strategy for 2030;Regulation on plant reproductive material;+;1;The EU Soil Strategy for 2030 can reinforce the Regulation on plant reproductive material by promoting sustainable soil management and plant health.
EU Biodiversity Strategy for 2030;Directive 2010/75/EU of the European Parliament and of the Council;+;2;The EU Biodiversity Strategy for 2030 can aid the Directive 2010/75/EU by reducing pollution and protecting biodiversity.
EU Biodiversity Strategy for 2030;Pathway to a Healthy Planet for All EU Action Plan;+;1;The EU Biodiversity Strategy for 2030 can enable the Pathway to a Healthy Planet for All EU Action Plan by promoting biodiversity conservation and sustainable ecosystems.
Directive 2010/75/EU of the European Parliament and of the Council;A Green Recovery for the Blue Economy – Transforming the EU's Blue Economy for a Sustainable Future;-;2;The Directive 2010/75/EU may counteract the Blue Economy Strategy by prioritizing pollution reduction over blue economy development.
Pathway to a Healthy Planet for All EU Action Plan;Regulation on plant reproductive material;+;1;The Pathway to a Healthy Planet for All EU Action Plan can support the Regulation on plant reproductive material by promoting sustainable plant health and reducing pesticide use.
A Green Recovery for the Blue Economy – Transforming the EU's Blue Economy for a Sustainable Future;EU Biodiversity Strategy for 2030;+;2;The Blue Economy Strategy can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable blue economy practices and protecting marine biodiversity."
