```csv;;;;;;;;;;;;;;;
target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level_3_extra2;justification;confidence_score;;;
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.5 - Transport via pipeline;The EU ETS covers multiple sectors including electricity, manufacturing, and transport, which are significant contributors to emissions.;9;;;
TA1.10;Achieve climate neutrality by 2050;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.5 - Transport via pipeline;Climate neutrality involves reducing emissions across energy, manufacturing, and transport sectors.;8;;;
TA1.11;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;A - Agriculture, Forestry and Fishing;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;A1 - Crop and animal production, hunting and related service activities;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;A1.1 - Growing of non-perennial crops;D35.2 - Manufacture of gas;B6.1 - Extraction of crude petroleum;Methane emissions are primarily from agriculture, energy production, and fossil fuel extraction.;9;;;
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;C16 - Manufacture of wood and of products of wood and cork;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;C16.1 - Sawmilling and planing of wood;The LULUCF sector involves forestry and land management, which are key for carbon sequestration.;8;;;
TA1.13;Reduce by 50% the use and risk of chemical pesticides;A - Agriculture, Forestry and Fishing;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;E38 - Waste collection, treatment and disposal activities, materials recovery;A1.1 - Growing of non-perennial crops;C20.2 - Manufacture of pesticides and other agrochemical products;E38.1 - Waste collection;Pesticides are primarily used in agriculture and are manufactured in the chemical industry.;9;;;
TA1.14;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;;A1.1 - Growing of non-perennial crops;;;;Organic farming is a subset of agriculture, focusing on sustainable practices.;10
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;C27 - Manufacture of electrical equipment;F41.2 - Construction of residential and non-residential buildings;D35.1 - Electric power generation, transmission and distribution;C27.1 - Manufacture of electric motors;Building emissions are linked to construction, energy use, and manufacturing of building materials.;9;;;
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;C - Manufacturing;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;C20 - Manufacture of chemicals and chemical products;D35.2 - Manufacture of gas;B6.1 - Extraction of crude petroleum;C20.2 - Manufacture of pesticides and other agrochemical products;Methane emissions are significant in energy production, fossil fuel extraction, and chemical manufacturing.;9;;;
TA1.17;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;A - Agriculture, Forestry and Fishing;F - Construction;H - Transportation and Storage;A1 - Crop and animal production, hunting and related service activities;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;A1.1 - Growing of non-perennial crops;F41.2 - Construction of residential and non-residential buildings;H49.5 - Transport via pipeline;Climate resilience involves adaptation across agriculture, construction, and transport sectors.;8;;;
TA1.18;CBAM;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;C24 - Manufacture of basic metals;D35 - Electricity, gas, steam and air conditioning supply;B7 - Mining of metal ores;C24.1 - Manufacture of basic iron and steel;D35.1 - Electric power generation, transmission and distribution;B7.1 - Mining of iron ores;The Carbon Border Adjustment Mechanism (CBAM) affects industries with high carbon emissions, such as manufacturing and energy.;9;;;
```;;;;;;;;;;;;;;;
