thematic_area;policy_document
TA1_Climate ambition;Amending Directive 2003/87/EC
TA1_Climate ambition;Amending Regulation (EU) 2018/842
TA1_Climate ambition;Amending Regulations (EU) 2018/841
TA1_Climate ambition;European Climate Law
TA1_Climate ambition;On an EU Strategy to reduce methane emissions
TA2_Clean, affordable and secure energy;A hydrogen strategy for a climate-neutral Europe
TA2_Clean, affordable and secure energy;A Renovation Wave for Europe
TA2_Clean, affordable and secure energy;Amending Directive (EU) 2018/2001, Regulation (EU) 2018/1999 and Directive 98/70/EC - energy from renewable sources
TA2_Clean, affordable and secure energy;Concerning urban wastewater treatment (recast)
TA2_Clean, affordable and secure energy;Delivering on the EU offshore renewable energy ambitions
TA2_Clean, affordable and secure energy;EU Solar Energy Strategy
TA2_Clean, affordable and secure energy;On energy efficiency and amending Regulation (EU) 2023/955 (recast)
TA2_Clean, affordable and secure energy;On the Energy Performance of Buildings (recast)
TA2_Clean, affordable and secure energy;Powering a Climate neutrality economy
TA2_Clean, affordable and secure energy;REPowerEU Plan
TA2_Clean, affordable and secure energy;Stepping up Europe’s 2030 climate ambition
TA3_Industrial strategy for a clean and circular economy;Circular Economy Action Plan
TA3_Industrial strategy for a clean and circular economy;Amending Directive 2008/98/EC on waste
TA3_Industrial strategy for a clean and circular economy;Concerning batteries and waste batteries
TA3_Industrial strategy for a clean and circular economy;On circularity requirements for vehicle design
TA3_Industrial strategy for a clean and circular economy;Net Zero Industry Act
TA3_Industrial strategy for a clean and circular economy;On packaging and packaging waste
TA3_Industrial strategy for a clean and circular economy;On Sustainable Carbon Cycles
TA3_Industrial strategy for a clean and circular economy;REGULATION (EU) 2024/1252 - critical raw materials
TA4_Sustainable and smart mobility;Amending Council Directive 92/106/EEC
TA4_Sustainable and smart mobility;Amending Regulation (EU) 2019/1242
TA4_Sustainable and smart mobility;Amending Directive (EU) 2018/2001, Regulation (EU) 2018/1999 and Directive 98/70/EC - energy from renewable sources
TA4_Sustainable and smart mobility;On ensuring a level playing field for sustainable air transport
TA4_Sustainable and smart mobility;On the deployment of alternative fuels infrastructure
TA4_Sustainable and smart mobility;Amending Directive (EU) 2018/2001, Regulation (EU) 2018/1999 and Directive 98/70/EC - energy from renewable sources
TA4_Sustainable and smart mobility;On the use of renewable and low-carbon fuels in maritime transport
TA4_Sustainable and smart mobility;Sustainable and Smart Mobility Strategy
TA4_Sustainable and smart mobility;The new EU Urban Mobility Framework
TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;A Farm to Fork Strategy
TA6_Preserving and protecting biodiversity;EU Biodiversity Strategy for 2030
TA6_Preserving and protecting biodiversity;EU Soil Strategy for 2030
TA6_Preserving and protecting biodiversity;On nature restoration and amending Regulation (EU) 2022/869
TA6_Preserving and protecting biodiversity;The common fisheries policy today and tomorrow
TA7_Towards a zero-pollution ambition for a toxic free environment;Directive 2010/75/EU of the European Parliament and of the Council
TA7_Towards a zero-pollution ambition for a toxic free environment;On ambient air quality and cleaner air for Europe
TA7_Towards a zero-pollution ambition for a toxic free environment;On minimum requirements for water reuse
TA7_Towards a zero-pollution ambition for a toxic free environment;On the quality of water intended for human consumption
TA7_Towards a zero-pollution ambition for a toxic free environment;Pathway to a Healthy Planet for All EU Action Plan
TA7_Towards a zero-pollution ambition for a toxic free environment;Proposal for a Directive on water quality
TA7_Towards a zero-pollution ambition for a toxic free environment;EU Soil Strategy for 2030
TA7_Towards a zero-pollution ambition for a toxic free environment;Concerning urban wastewater treatment (recast)
