source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
GHG Reduction;Waste Reduction - Municipal Waste;+;+3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
GHG Reduction;Waste Reduction - Food Waste;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
GHG Reduction;Circularity/Recycling - Municipal Waste;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Circularity/Recycling - Textile Waste;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
GHG Reduction;Circularity/Recycling - Plastic & Packaging;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
GHG Reduction;Circularity/Recycling - Vehicle Circularity;+ ; +1 ;Creates conditions that further another target. Fully ensuring public transparency and democratic accountability cannot be combined with national‐security goals. Full protection of natural reserves excludes public access for recreation. 
GHG Reduction;Critical Raw Materials - Extraction & Import;+ ; +1 ;Creates conditions that further another target. Reducing climate change can constrain the options for energy access. 
GHG Reduction;Net-Zero Technology - Manufacturing;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Renewable Energy;Waste Reduction - Municipal Waste;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Renewable Energy;Waste Reduction - Food Waste;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Renewable Energy;Circularity/Recycling - Municipal Waste;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Renewable Energy;Circularity/Recycling - Textile Waste;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Renewable Energy;Circularity/Recycling - Plastic & Packaging ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
Renewable Energy;Circularity/Recycling - Vehicle Circularity ;+ ; +1 ;Creates conditions that further another target. Fully ensuring public transparency and democratic accountability cannot be combined with national‐security goals. Full protection of natural reserves excludes public access for recreation. 
Renewable Energy;Critical Raw Materials - Extraction & Import ;+ ; +1 ;Creates conditions that further another target. Reducing climate change can constrain the options for energy access. 
Renewable Energy;Net-Zero Technology - Manufacturing;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Energy Efficiency;Waste Reduction - Municipal Waste;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Energy Efficiency;Waste Reduction - Food Waste;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Energy Efficiency;Circularity/Recycling - Municipal Waste;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Energy Efficiency;Circularity/Recycling - Textile Waste;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Energy Efficiency;Circularity/Recycling - Plastic & Packaging ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
Energy Efficiency;Circularity/Recycling - Vehicle Circularity ;+ ; +1 ;Creates conditions that further another target. Fully ensuring public transparency and democratic accountability cannot be combined with national‐security goals. Full protection of natural reserves excludes public access for recreation. 
Energy Efficiency;Critical Raw Materials - Extraction & Import ;+ ; +1 ;Creates conditions that further another target. Reducing climate change can constrain the options for energy access. 
Energy Efficiency;Net-Zero Technology - Manufacturing;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Social Security - Energy;Waste Reduction - Municipal Waste;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Energy;Waste Reduction - Food Waste;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by
