source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;GHG Reduction;+2;The reduction of greenhouse gas emissions in the EU will reinforce the efforts to reduce emissions in other sectors, such as transport and buildings, which are also crucial for achieving the EU's climate goals.;The EU's climate policies, including the European Green Deal, aim to reduce emissions across all sectors, and the progress in one area can support and accelerate progress in others.
Biofuels;TA4.1,TA4.18,TA4.7;GHG Reduction - Transports;+1;The use of biofuels can enable the reduction of greenhouse gas emissions in the transport sector, which is a key area of focus for the EU's climate policies.;The promotion of biofuels can help to decrease dependence on fossil fuels and lower emissions in the transport sector.
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.44,TA4.45,TA4.55;GHG Reduction - Transports;+3;The development and deployment of net-zero technology in road vehicles is indivisible from the reduction of greenhouse gas emissions in the transport sector, as it is a crucial step towards achieving the EU's climate goals.;The EU's targets for net-zero technology in road vehicles, such as the promotion of electric vehicles, are closely tied to the reduction of emissions in the transport sector.
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;GHG Reduction;+1;The development of hydrogen distribution infrastructure can enable the use of low-carbon hydrogen in various sectors, including transport and industry, which can help to reduce greenhouse gas emissions.;The promotion of hydrogen distribution can support the transition to a low-carbon economy and help to achieve the EU's climate goals.
Urban Mobility;TA4.54;GHG Reduction - Transports;+1;The promotion of sustainable urban mobility, such as walking and cycling, can enable the reduction of greenhouse gas emissions in the transport sector, which is a key area of focus for the EU's climate policies.;The EU's targets for urban mobility, such as the development of cycling infrastructure, can help to decrease dependence on fossil fuels and lower emissions in the transport sector.
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.40,TA4.43,TA4.50,TA4.51,TA4.56;GHG Reduction - Transports;+2;The development of sustainable transport logistics, such as the use of alternative fuels and the optimization of routes, can reinforce the efforts to reduce emissions in the transport sector, which is a key area of focus for the EU's climate policies.;The EU's targets for transport logistics, such as the development of green corridors, can help to decrease dependence on fossil fuels and lower emissions in the transport sector.
Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;GHG Reduction - Transports;+3;The development and deployment of net-zero technology in maritime transport is indivisible from the reduction of greenhouse gas emissions in the transport sector, as it is a crucial step towards achieving the EU's climate goals.;The EU's targets for net-zero technology in maritime transport, such as the promotion of alternative fuels, are closely tied to the reduction of emissions in the transport sector.
Net-Zero Technology - Aviation;TA4.32,TA4.46;GHG Reduction - Transports;+2;The development and deployment of net-zero technology in aviation can reinforce the efforts to reduce emissions in the transport sector, which is a key area of focus for the EU's climate policies.;The EU's targets for net-zero technology in aviation, such as the promotion of sustainable aviation fuels, can help to decrease dependence on fossil fuels and lower emissions in the transport sector.
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;GHG Reduction;+1;The development and use of other low-carbon fuels, such as synthetic fuels, can enable the reduction of greenhouse gas emissions in various sectors, including transport and industry, which can help to achieve the EU's climate goals.;The promotion of other low-carbon fuels can support the transition to a low-carbon economy and help to achieve the EU's climate goals.
Rail;TA4.37,TA4.38,TA4.40;GHG Reduction - Transports;+1;The development of sustainable rail transport, such as the use of alternative fuels and the optimization of routes, can enable the reduction of greenhouse gas emissions in the transport sector, which is a key area of focus for the EU's climate policies.;The EU's targets for rail transport, such as the development of green rail corridors, can help to decrease dependence on fossil fuels and lower emissions in the transport sector.
