                source_subtheme; impact_subtheme; impact_type; impact_weight; justification 
                Renewable Energy; Waste Reduction - Municipal Waste; positive; +3; Indivisible 
                Renewable Energy - Hydrogen Production; Circularity/Recycling - Vehicle Circularity; positive ; +2; Reinforcing 
                Renewable Energy - Ocean/Offshore; Energy Efficiency - Buildings; positive ; +1; Enabling 
                Renewable Energy - Solar; Critical Raw Materials - Extraction & Import'; negative ; -1; Constraining 
                Energy Efficiency; Waste Reduction - Food Waste; positive ; +2; Reinforcing 
                Energy Infrastructure; Circularity/Recycling - Plastic & Packaging; negative ; -2; Counteracting 
                Social Security - Energy; Net-Zero Technology - Manufacturing; negative ; -3; Cancelling 
                Renewable Energy - Heating & Cooling; Circularity/Recycling - Textile Waste; positive ; +1; Enabling 
                Renewable Energy; Circularity/Recycling - Plastic & Packaging - Bio-based plastics; negative ; -1; Constraining 
                Renewable Energy - Hydrogen Production; Energy Efficiency - Buildings; positive ; +2; Reinforcing 
                Renewable Energy - Ocean/Offshore; Waste Reduction - Municipal Waste; positive ; +3; Indivisible 
                Renewable Energy - Solar; Circularity/Recycling - Vehicle Circularity; positive ; +2; Reinforcing 
                Energy Efficiency; Waste Reduction - Food Waste; positive ; +1; Enabling 
                Energy Infrastructure; Circularity/Recycling - Plastic & Packaging; negative ; -2; Counteracting 
                Social Security - Energy; Net-Zero Technology - Manufacturing; negative ; -3; Cancelling 
                Renewable Energy - Heating & Cooling; Circularity/Recycling - Textile Waste; positive ; +1; Enabling 
                Renewable Energy; Circularity/Recycling - Plastic & Packaging - Bio-based plastics; negative ; -1; Constraining 
                Renewable Energy - Hydrogen Production; Energy Efficiency - Buildings; positive ; +2; Reinforcing 
                Renewable Energy - Ocean/Offshore; Waste Reduction - Municipal Waste; positive ; +3; Indivisible 
                Renewable Energy - Solar; Circularity/Recycling - Vehicle Circularity; positive ; +2; Reinforcing 
                Energy Efficiency; Waste Reduction - Food Waste; positive ; +1; Enabling 
                Energy Infrastructure; Circularity/Recycling - Plastic & Packaging; negative ; -2; Counteracting 
                Social Security - Energy; Net-Zero Technology - Manufacturing; negative ; -3; Cancelling 
                Renewable Energy - Heating & Cooling; Circularity/Recycling - Textile Waste; positive ; +1; Enabling 
                Renewable Energy; Circularity/Recycling - Plastic & Packaging - Bio-based plastics; negative ; -1; Constraining 
                Renewable Energy - Hydrogen Production; Energy Efficiency - Buildings; positive ; +2; Reinforcing 
                Renewable Energy - Ocean/Offshore; Waste Reduction - Municipal Waste; positive ; +3; Indivisible 
                Renewable Energy - Solar; Circularity/Recycling - Vehicle Circularity; positive ; +2; Reinforcing 
                Energy Efficiency; Waste Reduction - Food Waste; positive ; +1; Enabling 
                Energy Infrastructure; Circularity/Recycling - Plastic & Packaging; negative ; -2; Counteracting 
                Social Security - Energy; Net-Zero Technology - Manufacturing; negative ; -3; Cancelling 
                Renewable Energy - Heating & Cooling; Circularity/Recycling - Textile Waste; positive ; +1; Enabling 
                Renewable Energy; Circularity/Recycling - Plastic & Packaging - Bio-based plastics; negative ; -1; Constraining 
                Renewable Energy - Hydrogen Production; Energy Efficiency - Buildings; positive ; +2; Reinforcing 
                Renewable Energy - Ocean/Offshore; Waste Reduction - Municipal Waste; positive ; +3; Indivisible 
                Renewable Energy - Solar; Circularity/Recycling - Vehicle Circularity; positive ; +2; Reinforcing 
                Energy Efficiency; Waste Reduction - Food Waste; positive ; +1; Enabling 
                Energy Infrastructure; Circularity/Recycling - Plastic & Packaging; negative ; -2; Counteracting 
                Social Security - Energy; Net-Zero Technology - Manufacturing; negative ; -3; Cancelling 
                Renewable Energy - Heating & Cooling; Circularity/Recycling - Textile Waste; positive ; +1; Enabling 
                Renewable Energy; Circularity/Recycling - Plastic & Packaging - Bio-based plastics; negative ; -1; Constraining 
                Renewable Energy - Hydrogen Production; Energy Efficiency - Buildings; positive ; +2; Reinforcing 
                Renewable Energy - Ocean/Offshore; Waste Reduction - Municipal Waste; positive ; +3; Indivisible 
                Renewable Energy - Solar; Circularity/Recycling - Vehicle Circularity; positive ; +2; Reinforcing 
                Energy Efficiency; Waste Reduction - Food Waste; positive ; +1; Enabling 
                Energy Infrastructure; Circularity/Recycling - Plastic & Packaging; negative ; -2; Counteracting 
                Social Security - Energy; Net-Zero Technology - Manufacturing; negative ; -3; Cancelling 
                Renewable Energy - Heating & Cooling; Circularity/Recycling - Textile Waste; positive ; +1; Enabling 
                Renewable Energy; Circularity/Recycling - Plastic & Packaging - Bio-based plastics; negative ; -1; Constraining 
                Renewable Energy - Hydrogen Production; Energy Efficiency - Buildings; positive ; +2; Reinforcing 
                Renewable Energy - Ocean/Offshore; Waste Reduction - Municipal Waste; positive ; +3; Indivisible 
                Renewable Energy - Solar; Circularity/Recycling - Vehicle Circularity; positive ; +2; Reinforcing 
                Energy Efficiency; Waste Reduction - Food Waste; positive ; +1; Enabling 
                Energy Infrastructure; Circularity/Recycling - Plastic & Packaging; negative ; -2; Counteracting 
                Social Security - Energy; Net-Zero Technology - Manufacturing; negative ; -3; Cancelling 
                Renewable Energy - Heating & Cooling; Circularity/Recycling - Textile Waste
