TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA3_Industrial strategy for a clean and circular economy;Reducing Food Waste;This target is assigned to the sub-theme "Reducing Food Waste" because it specifically aims to decrease food waste in processing and manufacturing.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA3_Industrial strategy for a clean and circular economy;Improving Resource Efficiency;This target is also assigned to the sub-theme "Improving Resource Efficiency" as reducing food waste contributes to a more efficient use of resources.
TA6.55;Ensuring sustainable use of wood-based resources for bioenergy;TA6_Preserving and protecting biodiversity;Sustainable Forest Management;This target is assigned to the sub-theme "Sustainable Forest Management" because it focuses on the sustainable use of wood-based resources for bioenergy.
TA6.55;Ensuring sustainable use of wood-based resources for bioenergy;TA6_Preserving and protecting biodiversity;Renewable Energy;This target is also assigned to the sub-theme "Renewable Energy" as it involves the use of bioenergy, a form of renewable energy.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node.;TA4_Sustainable and smart mobility;Hydrogen Fuel Infrastructure;This target is assigned to the sub-theme "Hydrogen Fuel Infrastructure" because it aims to deploy hydrogen refuelling stations in urban nodes.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node.;TA4_Sustainable and smart mobility;Alternative Fuel Vehicles;This target is also assigned to the sub-theme "Alternative Fuel Vehicles" as hydrogen fuel is an alternative to traditional fossil fuels.
TA4.32;Member States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029;TA4_Sustainable and smart mobility;Sustainable Aviation;This target is assigned to the sub-theme "Sustainable Aviation" because it focuses on reducing the environmental impact of aviation by providing electricity supply to stationary aircraft.
TA4.32;Member States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029;TA4_Sustainable and smart mobility;Electrification of Transport;This target is also assigned to the sub-theme "Electrification of Transport" as it involves the provision of electricity to aircraft.
TA7.15;Improve water quality by reducing waste, plastic litter at sea (by 50%) and microplastics released into the environment (by 30%);TA7_Towards a zero-pollution ambition for a toxic free environment;Reducing Marine Pollution;This target is assigned to the sub-theme "Reducing Marine Pollution" because it aims to decrease plastic litter and microplastics in the environment.
TA7.15;Improve water quality by reducing waste, plastic litter at sea (by 50%) and microplastics released into the environment (by 30%);TA7_Towards a zero-pollution ambition for a toxic free environment;Improving Water Quality;This target is also assigned to the sub-theme "Improving Water Quality" as reducing waste and microplastics contributes to better water quality.
