source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA3.3;Double EU’s circular material use rate in the coming decade;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA3.3 will likely reinforce TA1.3 by reducing waste and increasing recycling, which in turn will decrease GHG emissions.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials;TA1.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries;+;1;The implementation of TA3.13 will enable TA1.11 by increasing the recycling capacity, which will reduce the Union's reliance on imports from a limited number of countries.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The implementation of TA3.15 will support TA1.9 by promoting the recycling and reuse of batteries, which will reduce GHG emissions from the production of new batteries.
TA3.16;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The implementation of TA3.16 will aid TA1.10 by increasing the collection and recycling of portable batteries, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.17;Producers of LMT batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The implementation of TA3.17 will support TA1.12 by promoting the recycling and reuse of LMT batteries, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions and the increase of the EU's net greenhouse gas removal.
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium or nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The implementation of TA3.18 will aid TA1.7 by increasing the recycling rate of industrial batteries, which will reduce the demand for primary materials and decrease GHG emissions from the production of new batteries.
TA3.19;Any natural or legal person that places on the market products incorporating portable batteries shall ensure that those batteries are readily removable and replaceable by the end-user at any time during the lifetime of the product;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA3.19 will support TA1.3 by promoting the design of products with recyclable batteries, which will increase the recycling rate and reduce waste, contributing to the reduction of GHG emissions.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025- 75% by average weight of lead-acid batteries- 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteriesNo later than 31 December 2030- 80% by average weight of lead-acid batteries Regulation (EU) 2023/1542;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The implementation of TA3.20 will aid TA1.10 by increasing the recycling efficiency of batteries, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency:- No later than 31 December 2025, 65% by average weight of lithium-based batteries- No later than 31 December 2030, 70% by average weight of lithium-based batteries.Regulation (EU) 2023/1542;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The implementation of TA3.21 will support TA1.12 by promoting the recycling and reuse of lithium-based batteries, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions and the increase of the EU's net greenhouse gas removal.
TA3.22;All recycling shall achieve at least the following targets for recovery of materials:- No later than 31 December 2027, 90% for cobalt, copper, lead, nickel- No later than 31 December 2031, 95% for cobalt, copper, lead, nickelRegulation (EU) 2023/1542;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The implementation of TA3.22 will aid TA1.7 by increasing the recovery rate of materials from recycling, which will reduce the demand for primary materials and decrease GHG emissions from the production of new materials.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027 and 80% for lithium no later than 31 December 2031.Regulation (EU) 2023/1542;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA3.23 will support TA1.3 by promoting the recovery of lithium, which will reduce the demand for primary lithium and decrease GHG emissions from the production of new lithium.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The implementation of TA3.30 will aid TA1.10 by reducing packaging waste, which will decrease the amount of waste sent to landfills and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025, and of 70% by weight of all packaging waste generated by 31 December 2030. Proposal on packaging and packaging waste;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The implementation of TA3.31 will support TA1.12 by promoting the recycling of packaging waste, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions and the increase of the EU's net greenhouse gas removal.
TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025 and of 30% by 31 December 2030. Proposal on packaging and packaging waste;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The implementation of TA3.33 will aid TA1.7 by increasing the recycling rate of wood, which will reduce the demand for primary wood and decrease GHG emissions from the production of new wood.
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030 Proposal on packaging and packaging waste;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA3.34 will support TA1.3 by promoting the recycling of ferrous metals, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.35;Member States shall take the necessary measures to attain a recycling target of 50% of aluminium by weight of aluminium contained in packaging waste generated by 31 December 2025 and of 60% by 31 December 2030 Proposal on packaging and packaging waste;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The implementation of TA3.35 will aid TA1.10 by increasing the recycling rate of aluminium, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.36;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025 and of 75% by 31 December 2030 Proposal on packaging and packaging waste;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The implementation of TA3.36 will support TA1.12 by promoting the recycling of glass, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions and the increase of the EU's net greenhouse gas removal.
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and cardboard by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030 Proposal on packaging and packaging waste;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The implementation of TA3.37 will aid TA1.7 by increasing the recycling rate of paper and cardboard, which will reduce the demand for primary materials and decrease GHG emissions from the production of new materials.
TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030, in full consideration of the EU's biodiversity and circular economy objectives and of the upcoming policy framework for bio-based, biodegradable and compostable plastics. Communication on Sustainable Carbon Cycles;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA3.52 will support TA1.3 by promoting the use of sustainable non-fossil carbon sources, which will reduce GHG emissions from the production of new materials.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter. Proposal on packaging and packaging waste;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The implementation of TA3.29 will aid TA1.10 by reducing the consumption of lightweight plastic carrier bags, which will decrease the amount of waste sent to landfills and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030. Proposal on packaging and packaging waste;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The implementation of TA3.32 will support TA1.12 by promoting the recycling of plastic, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions and the increase of the EU's net greenhouse gas removal.
