source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;Energy from Renewable Sources;+;2;The implementation of the Farm to Fork Strategy can reinforce the targets of the Energy from Renewable Sources policy document by promoting sustainable agriculture practices and reducing the environmental impact of food production, which can aid in the transition to renewable energy sources.
A Farm to Fork Strategy;Biofuels - Directive (EU) 2023/2413;+;1;The Farm to Fork Strategy can enable the targets of the Biofuels Directive by creating conditions for sustainable biofuel production and promoting sustainable land use, which can support the development of renewable energy sources.
A Farm to Fork Strategy;On ensuring a level playing field for sustainable air transport;+;1;The Farm to Fork Strategy can create conditions that further the targets of the Sustainable Air Transport policy document by promoting sustainable food systems and reducing waste, which can support the development of sustainable air transport.
A Farm to Fork Strategy;On the deployment of alternative fuels infrastructure;+;1;The implementation of the Farm to Fork Strategy can create conditions that further the targets of the Alternative Fuels Infrastructure policy document by promoting sustainable agriculture practices and reducing the environmental impact of food production, which can aid in the transition to alternative fuels.
A Farm to Fork Strategy;On the Energy Transition of the EU Fisheries and Aquaculture sector;+;1;The Farm to Fork Strategy can enable the targets of the Energy Transition in Fisheries and Aquaculture policy document by promoting sustainable fishing and aquaculture practices, which can support the development of renewable energy sources in the sector.
A Farm to Fork Strategy;Amending Regulation (EU) 2019/1242;+;1;The implementation of the Farm to Fork Strategy can create conditions that further the targets of the Amending Regulation by promoting sustainable agriculture practices and reducing the environmental impact of food production, which can aid in the transition to a low-carbon economy.
A Farm to Fork Strategy;The new EU Urban Mobility Framework;+;1;The Farm to Fork Strategy can enable the targets of the Urban Mobility Framework policy document by promoting sustainable food systems and reducing waste, which can support the development of sustainable urban mobility.
A Farm to Fork Strategy;Sustainable and Smart Mobility Strategy;+;1;The implementation of the Farm to Fork Strategy can create conditions that further the targets of the Sustainable and Smart Mobility Strategy by promoting sustainable agriculture practices and reducing the environmental impact of food production, which can aid in the transition to sustainable mobility.
A Farm to Fork Strategy;Hydrogen Strategy;+;1;The Farm to Fork Strategy can enable the targets of the Hydrogen Strategy by promoting sustainable agriculture practices and reducing the environmental impact of food production, which can support the development of renewable energy sources, including hydrogen.
A Farm to Fork Strategy;Clean Industrial Deal - European Commission;+;2;The implementation of the Farm to Fork Strategy can reinforce the targets of the Clean Industrial Deal by promoting sustainable agriculture practices, reducing waste, and promoting sustainable land use, which can aid in the transition to a low-carbon economy and support the development of clean technologies.
A Farm to Fork Strategy;Green Deal Industrial Plan for Net-Zero Age;+;2;The Farm to Fork Strategy can reinforce the targets of the Green Deal Industrial Plan by promoting sustainable agriculture practices, reducing waste, and promoting sustainable land use, which can aid in the transition to a net-zero economy and support the development of net-zero technologies.
